Facility,Description,Result,Minutes_elapsed,Time_stamp
Kitchen,Mariposa,8,12,2019-01-16 13:19:02
Patio,Culebra,0,6,2019-01-16 13:19:02
Room,Weasle,8,51,2019-01-16 13:19:02
Avery,Horse,8,98,2019-01-16 13:19:02
Coat Room,Iguana,0,78,2019-01-16 13:19:02
Coat Room,Chupacabra,8,95,2019-01-16 13:19:02
Patio,Iguana,0,24,2019-01-16 13:19:02
Sauna,Culebra,8,38,2019-01-16 13:19:02
Sauna,Tiburon,0,66,2019-01-16 13:19:02
Patio,Mule,8,6,2019-01-16 13:19:02
Shower,Culebra,8,35,2019-01-16 13:19:02
Coat Room,Mariposa,8,9,2019-01-16 13:19:02
Dog House,Culebra,0,84,2019-01-16 13:19:02
Club House,Iguana,8,9,2019-01-16 13:19:02
Dog House,Tiburon,0,58,2019-01-16 13:19:02
Club House,Tiburon,0,9,2019-01-16 13:19:02
Patio,Culebra,8,85,2019-01-16 13:19:02
Club House,Horse,8,54,2019-01-16 13:19:02
Coat Room,Pig,8,9,2019-01-16 13:19:02
Dining Room,Iguana,8,85,2019-01-16 13:19:02
Patio,Weasle,0,6,2019-01-16 13:19:02
Closet,Dog,8,83,2019-01-16 13:19:02
Dog House,Rana,8,92,2019-01-16 13:19:02
Kitchen,Culebra,8,48,2019-01-16 13:19:02
Patio,Pig,0,67,2019-01-16 13:19:02
Tree House,Weasle,0,80,2019-01-16 13:19:02
Club House,Tiburon,0,61,2019-01-16 13:19:02
Den,Mule,8,68,2019-01-16 13:19:02
Club House,Weasle,0,69,2019-01-16 13:19:02
Coat Room,Weasle,0,18,2019-01-16 13:19:02
Abuelita's Studio,Weasle,8,72,2019-01-16 13:19:02
Avery,Dog,8,24,2019-01-16 13:19:02
Club House,Cat,0,91,2019-01-16 13:19:02
Den,Tiburon,8,27,2019-01-16 13:19:02
Sauna,Aardvark,0,77,2019-01-16 13:19:02
Kitchen,Mule,8,26,2019-01-16 13:19:02
Home Gym,Mule,0,13,2019-01-16 13:19:02
Home Gym,Mariposa,8,45,2019-01-16 13:19:02
Abuelita's Studio,Cat,8,41,2019-01-16 13:19:02
Closet,Weasle,8,28,2019-01-16 13:19:02
Abuelita's Studio,Iguana,8,85,2019-01-16 13:19:02
Dining Room,Aardvark,0,74,2019-01-16 13:19:02
Shower,Chupacabra,0,29,2019-01-16 13:19:02
Patio,Dog,8,82,2019-01-16 13:19:02
Club House,Dog,8,50,2019-01-16 13:19:02
Abuelita's Studio,Horse,8,4,2019-01-16 13:19:02
Abuelita's Studio,Culebra,8,88,2019-01-16 13:19:02
Abuelita's Studio,Mariposa,8,42,2019-01-16 13:19:02
Room,Iguana,8,36,2019-01-16 13:19:02
Kitchen,Mariposa,0,37,2019-01-16 13:19:02
Kitchen,Tiburon,8,24,2019-01-16 13:19:02
Kitchen,Mariposa,8,77,2019-01-16 13:19:02
Avery,Mule,0,64,2019-01-16 13:19:02
Closet,Tiburon,0,93,2019-01-16 13:19:02
Closet,Tiburon,0,72,2019-01-16 13:19:02
Coat Room,Weasle,0,29,2019-01-16 13:19:02
Avery,Mariposa,0,13,2019-01-16 13:19:02
Abuelita's Studio,Mariposa,0,68,2019-01-16 13:19:02
Avery,Rana,0,72,2019-01-16 13:19:02
Room,Chupacabra,8,59,2019-01-16 13:19:02
Club House,Tiburon,0,32,2019-01-16 13:19:02
Tree House,Tiburon,8,28,2019-01-16 13:19:02
Club House,Mariposa,8,84,2019-01-16 13:19:02
Room,Pig,0,79,2019-01-16 13:19:02
Avery,Cat,8,33,2019-01-16 13:19:02
Avery,Rana,8,82,2019-01-16 13:19:02
Abuelita's Studio,Cat,8,43,2019-01-16 13:19:02
Room,Aardvark,8,17,2019-01-16 13:19:02
Room,Weasle,0,37,2019-01-16 13:19:02
Sauna,Culebra,8,72,2019-01-16 13:19:02
Kitchen,Dog,8,77,2019-01-16 13:19:02
Avery,Aardvark,0,79,2019-01-16 13:19:02
Home Gym,Pig,8,39,2019-01-16 13:19:02
Shower,Mule,0,95,2019-01-16 13:19:02
Shower,Chupacabra,8,0,2019-01-16 13:19:02
Avery,Tiburon,8,21,2019-01-16 13:19:02
Room,Chupacabra,0,6,2019-01-16 13:19:02
Room,Iguana,8,15,2019-01-16 13:19:02
Kitchen,Weasle,8,24,2019-01-16 13:19:02
Abuelita's Studio,Tiburon,0,71,2019-01-16 13:19:02
Home Gym,Rana,0,93,2019-01-16 13:19:02
Home Gym,Weasle,0,49,2019-01-16 13:19:02
Sauna,Rana,8,19,2019-01-16 13:19:02
Abuelita's Studio,Rana,0,4,2019-01-16 13:19:02
Kitchen,Aardvark,8,6,2019-01-16 13:19:02
Dining Room,Pig,8,3,2019-01-16 13:19:02
Abuelita's Studio,Dog,0,19,2019-01-16 13:19:02
Sauna,Aardvark,8,98,2019-01-16 13:19:02
