Facility,Description,Result,Minutes_elapsed,Time_stamp
Coat Room,Culebra,0,17,2019-01-09 19:42:35
Coat Room,Weasle,8,25,2019-01-09 19:42:35
Kitchen,Weasle,0,93,2019-01-09 19:42:35
Home Gym,Mariposa,8,47,2019-01-09 19:42:35
Room,Weasle,0,29,2019-01-09 19:42:35
Dog House,Pig,0,14,2019-01-09 19:42:35
Dog House,Pig,0,39,2019-01-09 19:42:35
Club House,Tiburon,0,90,2019-01-09 19:42:35
Den,Tiburon,8,3,2019-01-09 19:42:35
Dining Room,Aardvark,0,5,2019-01-09 19:42:35
Shower,Culebra,0,10,2019-01-09 19:42:35
Room,Dog,8,61,2019-01-09 19:42:35
Abuelita's Studio,Culebra,0,11,2019-01-09 19:42:35
Dining Room,Chupacabra,8,0,2019-01-09 19:42:35
Club House,Tiburon,8,83,2019-01-09 19:42:35
Den,Dog,8,16,2019-01-09 19:42:35
Closet,Rana,0,86,2019-01-09 19:42:35
Club House,Mariposa,8,53,2019-01-09 19:42:35
Room,Aardvark,8,4,2019-01-09 19:42:35
Sauna,Aardvark,0,17,2019-01-09 19:42:35
Shower,Pig,0,79,2019-01-09 19:42:35
Sauna,Pig,0,32,2019-01-09 19:42:35
Dining Room,Rana,8,21,2019-01-09 19:42:35
Tree House,Weasle,0,73,2019-01-09 19:42:35
Den,Culebra,8,99,2019-01-09 19:42:35
Shower,Culebra,0,63,2019-01-09 19:42:35
Tree House,Mule,8,48,2019-01-09 19:42:35
Sauna,Mariposa,0,46,2019-01-09 19:42:35
Club House,Mule,8,89,2019-01-09 19:42:35
Home Gym,Tiburon,8,33,2019-01-09 19:42:35
Abuelita's Studio,Chupacabra,8,86,2019-01-09 19:42:35
Dining Room,Aardvark,0,28,2019-01-09 19:42:35
Dog House,Iguana,0,94,2019-01-09 19:42:35
Club House,Cat,0,3,2019-01-09 19:42:35
Avery,Tiburon,0,90,2019-01-09 19:42:35
Avery,Dog,8,97,2019-01-09 19:42:35
Avery,Iguana,8,11,2019-01-09 19:42:35
Avery,Tiburon,8,33,2019-01-09 19:42:35
Home Gym,Pig,8,54,2019-01-09 19:42:35
Kitchen,Chupacabra,8,31,2019-01-09 19:42:35
Club House,Dog,8,38,2019-01-09 19:42:35
Home Gym,Dog,0,42,2019-01-09 19:42:35
