Facility,Description,Result,Minutes_elapsed,Time_stamp
Dog House,Pig,0,52,2019-01-09 19:47:52
Dining Room,Weasle,8,69,2019-01-09 19:47:52
Dog House,Tiburon,8,28,2019-01-09 19:47:52
Patio,Iguana,0,36,2019-01-09 19:47:52
Dining Room,Tiburon,8,18,2019-01-09 19:47:52
Coat Room,Culebra,8,99,2019-01-09 19:47:52
Club House,Rana,0,93,2019-01-09 19:47:52
Shower,Rana,8,5,2019-01-09 19:47:52
Den,Mule,8,34,2019-01-09 19:47:52
Shower,Iguana,8,7,2019-01-09 19:47:52
Tree House,Culebra,8,60,2019-01-09 19:47:52
Den,Dog,8,15,2019-01-09 19:47:52
Kitchen,Tiburon,8,97,2019-01-09 19:47:52
Home Gym,Rana,8,6,2019-01-09 19:47:52
Avery,Aardvark,0,42,2019-01-09 19:47:52
Coat Room,Aardvark,0,34,2019-01-09 19:47:52
Dining Room,Cat,8,8,2019-01-09 19:47:52
Dining Room,Horse,0,6,2019-01-09 19:47:52
Coat Room,Tiburon,8,91,2019-01-09 19:47:52
Sauna,Aardvark,0,93,2019-01-09 19:47:52
Dog House,Rana,0,75,2019-01-09 19:47:52
Tree House,Cat,8,38,2019-01-09 19:47:52
Coat Room,Aardvark,0,31,2019-01-09 19:47:52
Club House,Horse,8,82,2019-01-09 19:47:52
Shower,Mule,0,53,2019-01-09 19:47:52
Patio,Culebra,8,7,2019-01-09 19:47:52
Den,Rana,0,11,2019-01-09 19:47:52
Home Gym,Weasle,8,65,2019-01-09 19:47:52
Home Gym,Mariposa,8,66,2019-01-09 19:47:52
Room,Culebra,8,14,2019-01-09 19:47:52
Patio,Cat,0,16,2019-01-09 19:47:52
Patio,Iguana,8,55,2019-01-09 19:47:52
Home Gym,Pig,0,13,2019-01-09 19:47:52
Patio,Chupacabra,8,44,2019-01-09 19:47:52
Home Gym,Mule,8,89,2019-01-09 19:47:52
Closet,Mariposa,0,32,2019-01-09 19:47:52
Closet,Pig,8,1,2019-01-09 19:47:52
Coat Room,Aardvark,8,52,2019-01-09 19:47:52
Closet,Mule,0,34,2019-01-09 19:47:52
Avery,Weasle,8,11,2019-01-09 19:47:52
Room,Rana,0,70,2019-01-09 19:47:52
Sauna,Culebra,8,87,2019-01-09 19:47:52
Home Gym,Aardvark,0,26,2019-01-09 19:47:52
Club House,Mariposa,8,15,2019-01-09 19:47:52
Patio,Rana,8,81,2019-01-09 19:47:52
Abuelita's Studio,Cat,8,3,2019-01-09 19:47:52
Avery,Pig,8,56,2019-01-09 19:47:52
Closet,Mariposa,0,41,2019-01-09 19:47:52
Closet,Chupacabra,0,41,2019-01-09 19:47:52
Patio,Pig,8,30,2019-01-09 19:47:52
Abuelita's Studio,Chupacabra,8,47,2019-01-09 19:47:52
Room,Culebra,0,93,2019-01-09 19:47:52
Patio,Aardvark,0,5,2019-01-09 19:47:52
Closet,Pig,8,88,2019-01-09 19:47:52
Closet,Dog,0,41,2019-01-09 19:47:52
Coat Room,Rana,0,60,2019-01-09 19:47:52
Home Gym,Weasle,8,21,2019-01-09 19:47:52
Dog House,Dog,0,2,2019-01-09 19:47:52
Coat Room,Rana,0,27,2019-01-09 19:47:52
Kitchen,Rana,8,71,2019-01-09 19:47:52
Closet,Tiburon,0,86,2019-01-09 19:47:52
Avery,Aardvark,0,95,2019-01-09 19:47:52
Home Gym,Rana,0,5,2019-01-09 19:47:52
Dog House,Weasle,8,79,2019-01-09 19:47:52
Club House,Tiburon,0,49,2019-01-09 19:47:52
Patio,Weasle,0,14,2019-01-09 19:47:52
Home Gym,Culebra,8,47,2019-01-09 19:47:52
Shower,Tiburon,8,14,2019-01-09 19:47:52
Shower,Weasle,8,52,2019-01-09 19:47:52
Room,Tiburon,0,76,2019-01-09 19:47:52
Sauna,Tiburon,8,77,2019-01-09 19:47:52
Patio,Aardvark,0,83,2019-01-09 19:47:52
Sauna,Dog,0,14,2019-01-09 19:47:52
Shower,Weasle,8,39,2019-01-09 19:47:52
Shower,Culebra,8,38,2019-01-09 19:47:52
Dog House,Mariposa,0,64,2019-01-09 19:47:52
Sauna,Cat,0,71,2019-01-09 19:47:52
Dog House,Culebra,8,33,2019-01-09 19:47:52
Closet,Horse,0,32,2019-01-09 19:47:52
Abuelita's Studio,Chupacabra,0,3,2019-01-09 19:47:52
Den,Mule,0,99,2019-01-09 19:47:52
Dog House,Rana,8,16,2019-01-09 19:47:52
Dog House,Mule,0,52,2019-01-09 19:47:52
Tree House,Rana,0,30,2019-01-09 19:47:52
Tree House,Dog,8,61,2019-01-09 19:47:52
Coat Room,Cat,8,89,2019-01-09 19:47:52
Dining Room,Cat,0,0,2019-01-09 19:47:52
Abuelita's Studio,Aardvark,8,67,2019-01-09 19:47:52
Tree House,Chupacabra,8,90,2019-01-09 19:47:52
Den,Chupacabra,0,3,2019-01-09 19:47:52
Room,Chupacabra,0,30,2019-01-09 19:47:52
Tree House,Aardvark,8,35,2019-01-09 19:47:52
Closet,Rana,0,94,2019-01-09 19:47:52
Room,Culebra,0,59,2019-01-09 19:47:52
Shower,Tiburon,0,43,2019-01-09 19:47:52
Patio,Aardvark,8,22,2019-01-09 19:47:52
Patio,Cat,0,78,2019-01-09 19:47:52
Closet,Horse,8,28,2019-01-09 19:47:52
Sauna,Rana,8,44,2019-01-09 19:47:52
Sauna,Pig,0,33,2019-01-09 19:47:52
Dining Room,Pig,8,25,2019-01-09 19:47:52
Den,Rana,8,90,2019-01-09 19:47:52
Abuelita's Studio,Rana,8,60,2019-01-09 19:47:52
Shower,Mule,8,60,2019-01-09 19:47:52
Dog House,Weasle,8,82,2019-01-09 19:47:52
Dining Room,Mule,8,34,2019-01-09 19:47:52
Closet,Mule,8,66,2019-01-09 19:47:52
Room,Culebra,8,45,2019-01-09 19:47:52
Avery,Dog,8,59,2019-01-09 19:47:52
Tree House,Pig,8,29,2019-01-09 19:47:52
Den,Cat,0,33,2019-01-09 19:47:52
Closet,Iguana,0,93,2019-01-09 19:47:52
Tree House,Weasle,8,2,2019-01-09 19:47:52
Shower,Mariposa,8,9,2019-01-09 19:47:52
Room,Rana,0,34,2019-01-09 19:47:52
Sauna,Mule,8,54,2019-01-09 19:47:52
Home Gym,Mariposa,0,5,2019-01-09 19:47:52
Patio,Cat,0,11,2019-01-09 19:47:52
Sauna,Aardvark,8,11,2019-01-09 19:47:52
Club House,Mariposa,0,73,2019-01-09 19:47:52
Room,Culebra,0,23,2019-01-09 19:47:52
Shower,Mariposa,8,69,2019-01-09 19:47:52
Home Gym,Rana,8,51,2019-01-09 19:47:52
Dining Room,Iguana,0,25,2019-01-09 19:47:52
Dining Room,Tiburon,0,85,2019-01-09 19:47:52
Dining Room,Dog,0,8,2019-01-09 19:47:52
Shower,Horse,8,43,2019-01-09 19:47:52
Patio,Dog,8,21,2019-01-09 19:47:52
Shower,Pig,8,30,2019-01-09 19:47:52
Closet,Tiburon,8,9,2019-01-09 19:47:52
Club House,Pig,0,8,2019-01-09 19:47:52
Kitchen,Weasle,0,35,2019-01-09 19:47:52
Patio,Rana,0,85,2019-01-09 19:47:52
Dining Room,Aardvark,0,24,2019-01-09 19:47:52
Kitchen,Dog,0,51,2019-01-09 19:47:52
Den,Horse,0,98,2019-01-09 19:47:52
Room,Tiburon,8,72,2019-01-09 19:47:52
Patio,Horse,0,92,2019-01-09 19:47:52
Sauna,Iguana,8,60,2019-01-09 19:47:52
Abuelita's Studio,Iguana,8,30,2019-01-09 19:47:52
Sauna,Tiburon,8,62,2019-01-09 19:47:52
Room,Dog,8,3,2019-01-09 19:47:52
Abuelita's Studio,Aardvark,0,27,2019-01-09 19:47:52
Club House,Culebra,8,61,2019-01-09 19:47:52
Avery,Pig,8,74,2019-01-09 19:47:52
Patio,Weasle,0,28,2019-01-09 19:47:52
Patio,Weasle,0,60,2019-01-09 19:47:52
Club House,Weasle,8,53,2019-01-09 19:47:52
Closet,Aardvark,8,81,2019-01-09 19:47:52
Den,Horse,8,43,2019-01-09 19:47:52
Room,Chupacabra,8,37,2019-01-09 19:47:52
Room,Horse,0,66,2019-01-09 19:47:52
Sauna,Aardvark,0,59,2019-01-09 19:47:52
Dog House,Mule,0,25,2019-01-09 19:47:52
Den,Chupacabra,8,12,2019-01-09 19:47:52
Kitchen,Horse,8,42,2019-01-09 19:47:52
Closet,Iguana,0,62,2019-01-09 19:47:52
Room,Mariposa,8,84,2019-01-09 19:47:52
Patio,Rana,8,13,2019-01-09 19:47:52
Tree House,Rana,8,42,2019-01-09 19:47:52
Coat Room,Aardvark,0,34,2019-01-09 19:47:52
Abuelita's Studio,Iguana,8,42,2019-01-09 19:47:52
Coat Room,Aardvark,0,25,2019-01-09 19:47:52
Coat Room,Iguana,8,23,2019-01-09 19:47:52
Kitchen,Aardvark,8,65,2019-01-09 19:47:52
Dining Room,Chupacabra,8,60,2019-01-09 19:47:52
Abuelita's Studio,Culebra,0,77,2019-01-09 19:47:52
Room,Iguana,0,84,2019-01-09 19:47:52
Shower,Mariposa,0,63,2019-01-09 19:47:52
Club House,Weasle,8,99,2019-01-09 19:47:52
Shower,Pig,0,49,2019-01-09 19:47:52
Club House,Chupacabra,8,62,2019-01-09 19:47:52
Dog House,Pig,0,34,2019-01-09 19:47:52
Abuelita's Studio,Rana,8,75,2019-01-09 19:47:52
Patio,Cat,8,36,2019-01-09 19:47:52
Abuelita's Studio,Rana,8,97,2019-01-09 19:47:52
Tree House,Mule,8,27,2019-01-09 19:47:52
Club House,Rana,0,92,2019-01-09 19:47:52
Sauna,Tiburon,0,0,2019-01-09 19:47:52
Sauna,Mariposa,0,37,2019-01-09 19:47:52
Tree House,Cat,0,46,2019-01-09 19:47:52
Club House,Tiburon,0,70,2019-01-09 19:47:52
Shower,Mariposa,0,91,2019-01-09 19:47:52
Abuelita's Studio,Chupacabra,0,48,2019-01-09 19:47:52
Tree House,Mule,0,19,2019-01-09 19:47:52
Den,Mule,0,97,2019-01-09 19:47:52
Kitchen,Cat,8,6,2019-01-09 19:47:52
Den,Weasle,0,75,2019-01-09 19:47:52
Avery,Iguana,8,79,2019-01-09 19:47:52
