Facility,Description,Result,Minutes_elapsed,Time_stamp
Tree House,Mariposa,0,49,2019-01-22 19:32:00
Den,Weasle,8,19,2019-01-22 19:32:00
Shower,Mariposa,0,17,2019-01-22 19:32:00
Tree House,Iguana,0,49,2019-01-22 19:32:00
Club House,Dog,8,42,2019-01-22 19:32:00
Closet,Mule,0,8,2019-01-22 19:32:00
Dog House,Pig,0,98,2019-01-22 19:32:00
Shower,Culebra,0,45,2019-01-22 19:32:00
Club House,Mariposa,8,30,2019-01-22 19:32:00
Coat Room,Iguana,0,94,2019-01-22 19:32:00
Den,Aardvark,0,98,2019-01-22 19:32:00
Tree House,Cat,8,58,2019-01-22 19:32:00
Patio,Cat,0,96,2019-01-22 19:32:00
Club House,Chupacabra,0,75,2019-01-22 19:32:00
Avery,Horse,8,16,2019-01-22 19:32:00
Tree House,Pig,8,28,2019-01-22 19:32:00
Den,Horse,8,53,2019-01-22 19:32:00
Dining Room,Cat,8,83,2019-01-22 19:32:00
Tree House,Tiburon,8,60,2019-01-22 19:32:00
Room,Pig,8,47,2019-01-22 19:32:00
Tree House,Pig,0,55,2019-01-22 19:32:00
Closet,Culebra,8,60,2019-01-22 19:32:00
Patio,Horse,8,92,2019-01-22 19:32:00
Tree House,Aardvark,0,11,2019-01-22 19:32:00
Shower,Horse,8,67,2019-01-22 19:32:00
Coat Room,Weasle,0,54,2019-01-22 19:32:00
Club House,Mariposa,8,42,2019-01-22 19:32:00
Dog House,Aardvark,8,72,2019-01-22 19:32:00
Room,Aardvark,8,71,2019-01-22 19:32:00
Abuelita's Studio,Dog,0,84,2019-01-22 19:32:00
Coat Room,Chupacabra,8,82,2019-01-22 19:32:00
Coat Room,Mariposa,8,6,2019-01-22 19:32:00
Avery,Aardvark,0,30,2019-01-22 19:32:00
Kitchen,Iguana,8,23,2019-01-22 19:32:00
Closet,Aardvark,0,94,2019-01-22 19:32:00
Closet,Tiburon,8,90,2019-01-22 19:32:00
Shower,Chupacabra,8,92,2019-01-22 19:32:00
Abuelita's Studio,Culebra,8,65,2019-01-22 19:32:00
Dog House,Mariposa,8,0,2019-01-22 19:32:00
Avery,Chupacabra,0,26,2019-01-22 19:32:00
Home Gym,Dog,0,40,2019-01-22 19:32:00
Den,Mule,8,92,2019-01-22 19:32:00
Patio,Weasle,8,34,2019-01-22 19:32:00
Abuelita's Studio,Chupacabra,8,85,2019-01-22 19:32:00
Avery,Rana,8,67,2019-01-22 19:32:00
Avery,Mule,0,84,2019-01-22 19:32:00
Home Gym,Mariposa,0,45,2019-01-22 19:32:00
Tree House,Iguana,8,63,2019-01-22 19:32:00
