Facility,Test_group,Test_number,Description,Result,Execution_time,Information,Output
Den,9,0,Pig,0,35,Red,
Patio,313,1,Cat,0,624,Purple,
Den,110,2,Dog,8,371,Red,
Kitchen,954,3,Horse,0,499,Maroon,
Patio,259,4,Cat,0,56,Blue,
Kitchen,549,5,Dog,0,51,Brown,
Den,407,6,Dog,8,265,Brown,
Kitchen,100,7,Mule,8,545,Maroon,
Den,766,8,Pig,0,12,Red,
Shower,738,9,Pig,8,381,Maroon,
Patio,783,10,Mule,8,400,Maroon,
Shower,72,11,Dog,8,573,Purple,
Patio,39,12,Horse,0,671,Red,
Patio,247,13,Cat,0,903,Purple,
Patio,191,14,Mule,8,121,Brown,
Shower,993,15,Cat,8,923,Red,
Kitchen,954,16,Cat,0,451,Brown,
Shower,735,17,Dog,0,95,Brown,
Kitchen,547,18,Mule,0,331,Brown,
Patio,70,19,Cat,0,595,Blue,
Patio,933,20,Dog,0,526,Maroon,
Room,745,21,Horse,0,439,Maroon,
Shower,225,22,Pig,0,815,Red,
Den,689,23,Dog,8,67,Red,
Shower,448,24,Pig,8,343,Brown,
Shower,172,25,Cat,8,311,Maroon,
Patio,25,26,Pig,0,358,Purple,
Den,589,27,Mule,8,447,Brown,
Kitchen,250,28,Pig,0,274,Brown,
Room,825,29,Cat,8,203,Blue,
Room,998,30,Cat,0,394,Brown,
Room,225,31,Cat,8,967,Blue,
Shower,389,32,Horse,8,543,Blue,
Shower,237,33,Dog,0,557,Brown,
Room,178,34,Pig,0,426,Blue,
Shower,260,35,Mule,8,279,Purple,
Patio,291,36,Horse,0,222,Blue,
Shower,598,37,Mule,8,458,Blue,
Shower,339,38,Pig,0,52,Red,
Room,603,39,Dog,0,52,Brown,
Kitchen,281,40,Horse,8,722,Brown,
Patio,84,41,Pig,8,34,Red,
Shower,449,42,Dog,8,605,Red,
Shower,584,43,Pig,8,871,Maroon,
Room,905,44,Pig,8,808,Blue,
Kitchen,758,45,Dog,0,501,Maroon,
Patio,969,46,Mule,0,716,Purple,
Den,967,47,Pig,0,580,Brown,
Kitchen,90,48,Pig,8,733,Maroon,
Shower,551,49,Dog,0,390,Brown,
Kitchen,718,50,Cat,0,189,Red,
Kitchen,912,51,Horse,8,213,Red,
Shower,948,52,Cat,0,261,Red,
Patio,280,53,Horse,8,664,Brown,
Kitchen,546,54,Cat,0,332,Red,
Den,304,55,Cat,0,777,Red,
Patio,444,56,Dog,0,493,Maroon,
Den,47,57,Horse,0,158,Brown,
Kitchen,581,58,Pig,0,571,Maroon,
Kitchen,250,59,Pig,0,158,Maroon,
Room,337,60,Dog,0,361,Maroon,
Kitchen,9,61,Horse,0,25,Purple,
Den,302,62,Horse,0,453,Red,
Shower,683,63,Mule,8,367,Maroon,
Patio,391,64,Dog,8,611,Maroon,
Shower,224,65,Horse,0,407,Red,
Shower,692,66,Horse,8,390,Maroon,
Kitchen,588,67,Mule,8,160,Maroon,
Den,903,68,Pig,8,759,Blue,
Patio,339,69,Cat,8,120,Purple,
Den,483,70,Mule,0,661,Brown,
Patio,783,71,Horse,0,855,Red,
Kitchen,876,72,Pig,0,104,Maroon,
Shower,176,73,Horse,0,459,Maroon,
Kitchen,409,74,Horse,0,160,Purple,
Den,849,75,Dog,8,996,Brown,
Den,713,76,Cat,8,61,Red,
Den,233,77,Cat,8,397,Purple,
Den,516,78,Mule,8,101,Purple,
Den,663,79,Pig,8,359,Brown,
Kitchen,764,80,Mule,0,144,Purple,
Kitchen,719,81,Mule,0,15,Purple,
Shower,848,82,Horse,8,60,Brown,
Shower,563,83,Dog,8,863,Purple,
Shower,917,84,Cat,8,583,Red,
Shower,290,85,Horse,8,506,Blue,
Kitchen,435,86,Mule,8,618,Brown,
Den,478,87,Horse,8,387,Blue,
Shower,218,88,Horse,0,558,Maroon,
Patio,644,89,Horse,0,241,Purple,
Patio,824,90,Cat,0,606,Blue,
Kitchen,856,91,Horse,8,533,Red,
Patio,588,92,Pig,8,781,Maroon,
Patio,419,93,Mule,0,304,Purple,
Kitchen,896,94,Horse,8,205,Blue,
Patio,980,95,Mule,8,64,Maroon,
Room,210,96,Mule,8,46,Red,
Kitchen,710,97,Pig,8,583,Purple,
Shower,59,98,Dog,8,149,Brown,
Patio,815,99,Mule,0,263,Blue,
Patio,355,100,Pig,8,99,Red,
Shower,379,101,Dog,0,737,Brown,
Patio,405,102,Horse,0,557,Purple,
Patio,322,103,Pig,8,633,Brown,
Room,55,104,Cat,0,369,Brown,
Den,325,105,Pig,0,393,Maroon,
Den,255,106,Pig,0,705,Red,
Shower,952,107,Horse,0,683,Red,
