Facility,Test_group,Test_number,Description,Result,Execution_time,Information,Output
Kitchen,238,0,Horse,8,249,Brown,
Room,332,1,Dog,8,709,Maroon,
Kitchen,422,2,Horse,8,763,Brown,
Room,39,3,Pig,8,458,Blue,
Kitchen,834,4,Mule,8,632,Brown,
Shower,958,5,Pig,0,337,Purple,
Patio,184,6,Mule,0,351,Blue,
Den,832,7,Cat,8,127,Purple,
Kitchen,604,8,Horse,8,43,Blue,
Den,659,9,Horse,0,515,Maroon,
Kitchen,27,10,Cat,8,349,Blue,
Kitchen,253,11,Mule,0,559,Red,
Den,121,12,Mule,8,417,Maroon,
Kitchen,754,13,Mule,8,924,Maroon,
Patio,348,14,Cat,8,702,Maroon,
Shower,948,15,Cat,8,646,Red,
Den,966,16,Cat,8,145,Purple,
Room,375,17,Mule,0,721,Purple,
Den,230,18,Pig,0,275,Brown,
Kitchen,667,19,Mule,0,964,Maroon,
Room,507,20,Horse,8,872,Red,
Den,212,21,Dog,0,454,Purple,
Shower,137,22,Mule,0,66,Maroon,
Shower,30,23,Cat,0,269,Brown,
Patio,93,24,Horse,0,725,Maroon,
Patio,593,25,Pig,8,964,Red,
Den,315,26,Horse,0,213,Maroon,
Den,650,27,Dog,8,704,Maroon,
Patio,974,28,Cat,8,648,Purple,
Kitchen,565,29,Pig,0,230,Maroon,
Room,509,30,Pig,8,582,Brown,
Shower,873,31,Cat,8,262,Maroon,
Den,338,32,Horse,8,668,Maroon,
Den,376,33,Cat,8,524,Red,
Room,663,34,Horse,8,118,Blue,
Shower,390,35,Mule,0,626,Red,
Den,517,36,Dog,0,953,Brown,
Den,12,37,Mule,0,650,Red,
Shower,438,38,Horse,8,976,Purple,
Kitchen,535,39,Dog,8,264,Red,
Den,658,40,Pig,8,106,Blue,
Patio,190,41,Pig,8,421,Purple,
Kitchen,561,42,Cat,8,597,Purple,
Shower,777,43,Horse,8,147,Red,
Patio,444,44,Mule,0,876,Maroon,
Kitchen,985,45,Dog,0,609,Blue,
Room,444,46,Horse,0,337,Blue,
Kitchen,205,47,Cat,0,117,Purple,
Room,646,48,Mule,0,61,Purple,
Shower,730,49,Cat,0,101,Maroon,
Patio,361,50,Pig,0,867,Maroon,
Patio,296,51,Horse,8,320,Blue,
Den,618,52,Pig,8,489,Brown,
Den,152,53,Horse,8,456,Blue,
Kitchen,549,54,Horse,0,280,Brown,
Room,321,55,Dog,0,113,Blue,
Room,774,56,Cat,0,491,Blue,
Shower,393,57,Horse,0,109,Maroon,
Shower,156,58,Horse,8,81,Purple,
Patio,193,59,Pig,8,484,Purple,
Patio,363,60,Mule,8,125,Maroon,
Room,280,61,Cat,0,56,Brown,
