Facility,Description,Result,Minutes_elapsed,Time_stamp
Sauna,Aardvark,0,45,2019-01-21 13:22:13
Sauna,Mariposa,0,61,2019-01-21 13:22:13
Abuelita's Studio,Dog,0,79,2019-01-21 13:22:13
Abuelita's Studio,Cat,0,64,2019-01-21 13:22:13
Kitchen,Culebra,0,56,2019-01-21 13:22:13
Room,Rana,0,49,2019-01-21 13:22:13
Kitchen,Mule,8,90,2019-01-21 13:22:13
Kitchen,Iguana,8,14,2019-01-21 13:22:13
Club House,Iguana,8,55,2019-01-21 13:22:13
Avery,Culebra,8,37,2019-01-21 13:22:13
Dog House,Iguana,0,67,2019-01-21 13:22:13
Room,Cat,0,56,2019-01-21 13:22:13
Coat Room,Pig,0,22,2019-01-21 13:22:13
Home Gym,Cat,0,79,2019-01-21 13:22:13
Kitchen,Horse,0,10,2019-01-21 13:22:13
Club House,Horse,0,92,2019-01-21 13:22:13
Sauna,Tiburon,0,5,2019-01-21 13:22:13
Coat Room,Mariposa,8,23,2019-01-21 13:22:13
Room,Weasle,8,86,2019-01-21 13:22:13
Home Gym,Aardvark,0,70,2019-01-21 13:22:13
Home Gym,Chupacabra,8,5,2019-01-21 13:22:13
Patio,Cat,8,49,2019-01-21 13:22:13
Home Gym,Tiburon,0,79,2019-01-21 13:22:13
Kitchen,Chupacabra,8,16,2019-01-21 13:22:13
Coat Room,Dog,0,70,2019-01-21 13:22:13
Sauna,Rana,8,54,2019-01-21 13:22:13
Coat Room,Chupacabra,8,81,2019-01-21 13:22:13
Tree House,Cat,0,81,2019-01-21 13:22:13
Dog House,Mariposa,8,42,2019-01-21 13:22:13
Den,Culebra,0,97,2019-01-21 13:22:13
Club House,Iguana,0,50,2019-01-21 13:22:13
Closet,Pig,0,99,2019-01-21 13:22:13
Club House,Rana,8,98,2019-01-21 13:22:13
Closet,Horse,0,57,2019-01-21 13:22:13
Dog House,Weasle,0,81,2019-01-21 13:22:13
Dog House,Horse,8,11,2019-01-21 13:22:13
Dining Room,Tiburon,8,52,2019-01-21 13:22:13
