Facility,Description,Result,Minutes_elapsed,Time_stamp
Avery,Rana,0,61,2019-01-22 16:35:37
Tree House,Aardvark,0,69,2019-01-22 16:35:37
Sauna,Mule,8,98,2019-01-22 16:35:37
Home Gym,Mule,0,44,2019-01-22 16:35:37
Dining Room,Aardvark,8,47,2019-01-22 16:35:37
Dining Room,Aardvark,8,72,2019-01-22 16:35:37
Den,Tiburon,8,28,2019-01-22 16:35:37
Patio,Chupacabra,0,60,2019-01-22 16:35:37
Sauna,Pig,8,34,2019-01-22 16:35:37
Home Gym,Mariposa,0,39,2019-01-22 16:35:37
Abuelita's Studio,Tiburon,8,19,2019-01-22 16:35:37
Coat Room,Aardvark,0,16,2019-01-22 16:35:37
Den,Dog,8,11,2019-01-22 16:35:37
Shower,Aardvark,8,27,2019-01-22 16:35:37
Patio,Aardvark,8,26,2019-01-22 16:35:37
Coat Room,Mariposa,8,37,2019-01-22 16:35:37
Dining Room,Aardvark,0,30,2019-01-22 16:35:37
Club House,Mule,0,69,2019-01-22 16:35:37
Tree House,Cat,0,58,2019-01-22 16:35:37
Shower,Weasle,0,41,2019-01-22 16:35:37
Room,Chupacabra,8,43,2019-01-22 16:35:37
Tree House,Mariposa,8,57,2019-01-22 16:35:37
Shower,Weasle,8,57,2019-01-22 16:35:37
Sauna,Chupacabra,8,29,2019-01-22 16:35:37
Avery,Mariposa,8,40,2019-01-22 16:35:37
Sauna,Horse,8,56,2019-01-22 16:35:37
Kitchen,Weasle,8,28,2019-01-22 16:35:37
Sauna,Aardvark,8,54,2019-01-22 16:35:37
Coat Room,Mule,8,0,2019-01-22 16:35:37
Patio,Tiburon,0,16,2019-01-22 16:35:37
Abuelita's Studio,Chupacabra,0,17,2019-01-22 16:35:37
Dog House,Pig,8,5,2019-01-22 16:35:37
Abuelita's Studio,Iguana,8,58,2019-01-22 16:35:37
Room,Weasle,8,37,2019-01-22 16:35:37
Home Gym,Weasle,0,40,2019-01-22 16:35:37
Shower,Aardvark,0,28,2019-01-22 16:35:37
Kitchen,Rana,8,13,2019-01-22 16:35:37
Dog House,Rana,0,7,2019-01-22 16:35:37
Abuelita's Studio,Mule,0,30,2019-01-22 16:35:37
Avery,Tiburon,0,66,2019-01-22 16:35:37
Room,Rana,8,86,2019-01-22 16:35:37
Sauna,Horse,8,24,2019-01-22 16:35:37
Avery,Iguana,0,77,2019-01-22 16:35:37
Dog House,Mariposa,0,92,2019-01-22 16:35:37
Tree House,Rana,0,63,2019-01-22 16:35:37
Coat Room,Mariposa,8,95,2019-01-22 16:35:37
Home Gym,Horse,0,78,2019-01-22 16:35:37
Club House,Rana,0,99,2019-01-22 16:35:37
Shower,Weasle,0,75,2019-01-22 16:35:37
Patio,Iguana,0,80,2019-01-22 16:35:37
Dining Room,Mariposa,8,41,2019-01-22 16:35:37
Avery,Chupacabra,8,81,2019-01-22 16:35:37
Kitchen,Dog,0,2,2019-01-22 16:35:37
Kitchen,Rana,8,67,2019-01-22 16:35:37
Room,Aardvark,8,87,2019-01-22 16:35:37
Den,Iguana,8,87,2019-01-22 16:35:37
Closet,Horse,8,51,2019-01-22 16:35:37
Avery,Mule,8,14,2019-01-22 16:35:37
Abuelita's Studio,Pig,0,62,2019-01-22 16:35:37
Room,Iguana,8,72,2019-01-22 16:35:37
Abuelita's Studio,Mariposa,0,51,2019-01-22 16:35:37
Avery,Weasle,8,33,2019-01-22 16:35:37
Coat Room,Rana,8,31,2019-01-22 16:35:37
Coat Room,Cat,8,11,2019-01-22 16:35:37
Coat Room,Rana,0,97,2019-01-22 16:35:37
Den,Mariposa,8,57,2019-01-22 16:35:37
Den,Horse,8,15,2019-01-22 16:35:37
Patio,Tiburon,0,35,2019-01-22 16:35:37
Closet,Horse,0,76,2019-01-22 16:35:37
Dining Room,Rana,8,29,2019-01-22 16:35:37
Home Gym,Dog,0,13,2019-01-22 16:35:37
Patio,Mariposa,0,67,2019-01-22 16:35:37
Abuelita's Studio,Iguana,8,64,2019-01-22 16:35:37
Home Gym,Culebra,8,30,2019-01-22 16:35:37
Kitchen,Tiburon,0,20,2019-01-22 16:35:37
Patio,Horse,8,14,2019-01-22 16:35:37
Home Gym,Chupacabra,8,29,2019-01-22 16:35:37
Den,Aardvark,8,65,2019-01-22 16:35:37
Dog House,Tiburon,0,92,2019-01-22 16:35:37
Shower,Mule,8,63,2019-01-22 16:35:37
Club House,Mariposa,0,27,2019-01-22 16:35:37
Patio,Dog,0,26,2019-01-22 16:35:37
Club House,Dog,0,58,2019-01-22 16:35:37
Dog House,Chupacabra,0,17,2019-01-22 16:35:37
Tree House,Pig,0,26,2019-01-22 16:35:37
Tree House,Rana,8,16,2019-01-22 16:35:37
Closet,Weasle,0,88,2019-01-22 16:35:37
Closet,Cat,0,21,2019-01-22 16:35:37
Patio,Cat,0,46,2019-01-22 16:35:37
Shower,Rana,0,51,2019-01-22 16:35:37
Tree House,Horse,8,53,2019-01-22 16:35:37
Shower,Chupacabra,0,4,2019-01-22 16:35:37
Room,Rana,8,92,2019-01-22 16:35:37
Tree House,Mule,8,79,2019-01-22 16:35:37
Avery,Pig,0,40,2019-01-22 16:35:37
Kitchen,Weasle,8,72,2019-01-22 16:35:37
Patio,Chupacabra,0,62,2019-01-22 16:35:37
Shower,Pig,0,39,2019-01-22 16:35:37
Dog House,Tiburon,0,84,2019-01-22 16:35:37
Home Gym,Horse,8,63,2019-01-22 16:35:37
Dog House,Mariposa,8,70,2019-01-22 16:35:37
Tree House,Horse,8,8,2019-01-22 16:35:37
Sauna,Tiburon,8,66,2019-01-22 16:35:37
Closet,Pig,8,39,2019-01-22 16:35:37
Patio,Rana,0,74,2019-01-22 16:35:37
Dog House,Aardvark,0,61,2019-01-22 16:35:37
Home Gym,Weasle,0,83,2019-01-22 16:35:37
Sauna,Dog,0,88,2019-01-22 16:35:37
Coat Room,Mule,0,72,2019-01-22 16:35:37
Club House,Pig,0,9,2019-01-22 16:35:37
Tree House,Horse,0,70,2019-01-22 16:35:37
Den,Pig,0,91,2019-01-22 16:35:37
Tree House,Dog,8,45,2019-01-22 16:35:37
Den,Culebra,8,92,2019-01-22 16:35:37
Tree House,Horse,0,45,2019-01-22 16:35:37
Home Gym,Dog,0,3,2019-01-22 16:35:37
Club House,Cat,0,20,2019-01-22 16:35:37
Shower,Mule,0,29,2019-01-22 16:35:37
Avery,Tiburon,0,18,2019-01-22 16:35:37
Kitchen,Iguana,8,93,2019-01-22 16:35:37
Den,Horse,0,21,2019-01-22 16:35:37
Den,Culebra,0,31,2019-01-22 16:35:37
Den,Pig,8,18,2019-01-22 16:35:37
Dining Room,Pig,0,80,2019-01-22 16:35:37
Club House,Rana,8,32,2019-01-22 16:35:37
Dining Room,Rana,8,97,2019-01-22 16:35:37
Home Gym,Aardvark,0,78,2019-01-22 16:35:37
Club House,Cat,8,17,2019-01-22 16:35:37
Kitchen,Chupacabra,8,81,2019-01-22 16:35:37
Avery,Cat,0,67,2019-01-22 16:35:37
Den,Mariposa,8,82,2019-01-22 16:35:37
Abuelita's Studio,Mariposa,0,3,2019-01-22 16:35:37
Kitchen,Chupacabra,0,87,2019-01-22 16:35:37
Room,Cat,0,69,2019-01-22 16:35:37
Dog House,Rana,8,19,2019-01-22 16:35:37
Home Gym,Mule,0,0,2019-01-22 16:35:37
Abuelita's Studio,Weasle,0,32,2019-01-22 16:35:37
Room,Mariposa,8,44,2019-01-22 16:35:37
Closet,Rana,8,77,2019-01-22 16:35:37
Coat Room,Horse,8,27,2019-01-22 16:35:37
Patio,Pig,0,21,2019-01-22 16:35:37
Home Gym,Cat,0,7,2019-01-22 16:35:37
Closet,Iguana,8,97,2019-01-22 16:35:37
Dining Room,Aardvark,0,36,2019-01-22 16:35:37
Tree House,Tiburon,0,78,2019-01-22 16:35:37
Club House,Tiburon,0,16,2019-01-22 16:35:37
Patio,Pig,8,28,2019-01-22 16:35:37
Room,Mule,0,58,2019-01-22 16:35:37
Room,Tiburon,8,41,2019-01-22 16:35:37
Closet,Dog,8,17,2019-01-22 16:35:37
Patio,Rana,8,73,2019-01-22 16:35:37
Abuelita's Studio,Culebra,8,5,2019-01-22 16:35:37
Closet,Chupacabra,0,96,2019-01-22 16:35:37
Avery,Rana,0,47,2019-01-22 16:35:37
Dining Room,Chupacabra,8,36,2019-01-22 16:35:37
Closet,Mule,0,38,2019-01-22 16:35:37
Dining Room,Horse,8,44,2019-01-22 16:35:37
Coat Room,Pig,8,77,2019-01-22 16:35:37
Den,Pig,8,82,2019-01-22 16:35:37
Home Gym,Rana,0,92,2019-01-22 16:35:37
Den,Culebra,0,99,2019-01-22 16:35:37
Closet,Culebra,8,43,2019-01-22 16:35:37
Sauna,Mariposa,0,92,2019-01-22 16:35:37
Home Gym,Chupacabra,8,67,2019-01-22 16:35:37
Closet,Pig,8,71,2019-01-22 16:35:37
Patio,Culebra,0,38,2019-01-22 16:35:37
Room,Cat,0,81,2019-01-22 16:35:37
Sauna,Aardvark,0,62,2019-01-22 16:35:37
Tree House,Cat,0,15,2019-01-22 16:35:37
Den,Mariposa,8,35,2019-01-22 16:35:37
Dog House,Culebra,0,6,2019-01-22 16:35:37
Closet,Dog,0,75,2019-01-22 16:35:37
Tree House,Mule,8,99,2019-01-22 16:35:37
Sauna,Weasle,0,89,2019-01-22 16:35:37
Club House,Chupacabra,8,28,2019-01-22 16:35:37
Sauna,Tiburon,0,93,2019-01-22 16:35:37
Den,Mule,0,72,2019-01-22 16:35:37
Den,Pig,0,48,2019-01-22 16:35:37
Coat Room,Pig,8,7,2019-01-22 16:35:37
Patio,Pig,8,49,2019-01-22 16:35:37
Kitchen,Chupacabra,0,52,2019-01-22 16:35:37
Closet,Mariposa,8,53,2019-01-22 16:35:37
Club House,Aardvark,8,27,2019-01-22 16:35:37
Shower,Tiburon,0,50,2019-01-22 16:35:37
Abuelita's Studio,Horse,0,61,2019-01-22 16:35:37
Home Gym,Iguana,0,9,2019-01-22 16:35:37
Closet,Mule,8,35,2019-01-22 16:35:37
Shower,Mule,8,16,2019-01-22 16:35:37
Tree House,Iguana,0,38,2019-01-22 16:35:37
Coat Room,Iguana,0,9,2019-01-22 16:35:37
Tree House,Dog,8,49,2019-01-22 16:35:37
Avery,Cat,0,95,2019-01-22 16:35:37
Shower,Mule,0,72,2019-01-22 16:35:37
Tree House,Rana,8,69,2019-01-22 16:35:37
Sauna,Weasle,8,73,2019-01-22 16:35:37
Club House,Culebra,0,94,2019-01-22 16:35:37
Abuelita's Studio,Tiburon,0,90,2019-01-22 16:35:37
Abuelita's Studio,Pig,0,26,2019-01-22 16:35:37
Closet,Rana,0,14,2019-01-22 16:35:37
Coat Room,Dog,8,20,2019-01-22 16:35:37
Patio,Dog,8,77,2019-01-22 16:35:37
Abuelita's Studio,Horse,0,95,2019-01-22 16:35:37
Room,Pig,8,70,2019-01-22 16:35:37
Kitchen,Chupacabra,0,11,2019-01-22 16:35:37
Room,Iguana,0,49,2019-01-22 16:35:37
Sauna,Culebra,8,85,2019-01-22 16:35:37
Dining Room,Mariposa,0,15,2019-01-22 16:35:37
Coat Room,Cat,0,79,2019-01-22 16:35:37
Shower,Culebra,0,86,2019-01-22 16:35:37
Coat Room,Chupacabra,0,22,2019-01-22 16:35:37
Club House,Chupacabra,8,80,2019-01-22 16:35:37
Closet,Culebra,0,17,2019-01-22 16:35:37
Shower,Cat,0,62,2019-01-22 16:35:37
Den,Cat,0,62,2019-01-22 16:35:37
Den,Dog,0,98,2019-01-22 16:35:37
Den,Mariposa,8,97,2019-01-22 16:35:37
Tree House,Pig,0,41,2019-01-22 16:35:37
Shower,Aardvark,0,46,2019-01-22 16:35:37
Shower,Chupacabra,0,9,2019-01-22 16:35:37
Sauna,Mariposa,8,6,2019-01-22 16:35:37
Closet,Rana,8,64,2019-01-22 16:35:37
Abuelita's Studio,Tiburon,0,26,2019-01-22 16:35:37
Tree House,Dog,8,44,2019-01-22 16:35:37
Tree House,Tiburon,8,84,2019-01-22 16:35:37
Club House,Horse,8,8,2019-01-22 16:35:37
Room,Rana,8,87,2019-01-22 16:35:37
Abuelita's Studio,Pig,8,6,2019-01-22 16:35:37
Den,Aardvark,0,14,2019-01-22 16:35:37
Dining Room,Horse,0,36,2019-01-22 16:35:37
Dog House,Dog,0,55,2019-01-22 16:35:37
Avery,Aardvark,0,36,2019-01-22 16:35:37
Sauna,Pig,0,36,2019-01-22 16:35:37
Tree House,Pig,8,72,2019-01-22 16:35:37
Dog House,Cat,0,63,2019-01-22 16:35:37
Closet,Culebra,0,63,2019-01-22 16:35:37
Club House,Aardvark,0,18,2019-01-22 16:35:37
Kitchen,Horse,8,88,2019-01-22 16:35:37
Shower,Horse,8,91,2019-01-22 16:35:37
Kitchen,Mariposa,0,73,2019-01-22 16:35:37
Shower,Mariposa,0,99,2019-01-22 16:35:37
Patio,Iguana,8,16,2019-01-22 16:35:37
Dog House,Mule,8,1,2019-01-22 16:35:37
Den,Rana,8,74,2019-01-22 16:35:37
Closet,Chupacabra,8,12,2019-01-22 16:35:37
Tree House,Horse,0,30,2019-01-22 16:35:37
Sauna,Aardvark,8,21,2019-01-22 16:35:37
Dog House,Dog,0,24,2019-01-22 16:35:37
Home Gym,Dog,0,33,2019-01-22 16:35:37
Club House,Mariposa,0,6,2019-01-22 16:35:37
Den,Cat,0,58,2019-01-22 16:35:37
Room,Horse,8,49,2019-01-22 16:35:37
Tree House,Rana,8,58,2019-01-22 16:35:37
Patio,Weasle,8,45,2019-01-22 16:35:37
Club House,Tiburon,8,7,2019-01-22 16:35:37
Abuelita's Studio,Dog,0,43,2019-01-22 16:35:37
Tree House,Rana,8,21,2019-01-22 16:35:37
Room,Pig,0,79,2019-01-22 16:35:37
Den,Tiburon,0,10,2019-01-22 16:35:37
Den,Mariposa,8,15,2019-01-22 16:35:37
Shower,Cat,8,67,2019-01-22 16:35:37
Dog House,Aardvark,0,96,2019-01-22 16:35:37
Club House,Cat,0,42,2019-01-22 16:35:37
Kitchen,Chupacabra,0,33,2019-01-22 16:35:37
Sauna,Rana,8,16,2019-01-22 16:35:37
Den,Culebra,0,94,2019-01-22 16:35:37
Abuelita's Studio,Mule,8,42,2019-01-22 16:35:37
Tree House,Pig,8,79,2019-01-22 16:35:37
Tree House,Mule,0,80,2019-01-22 16:35:37
Shower,Pig,0,91,2019-01-22 16:35:37
Room,Chupacabra,0,33,2019-01-22 16:35:37
Dog House,Cat,0,75,2019-01-22 16:35:37
Tree House,Rana,0,70,2019-01-22 16:35:37
Dog House,Iguana,0,72,2019-01-22 16:35:37
Coat Room,Mule,0,18,2019-01-22 16:35:37
Den,Culebra,0,90,2019-01-22 16:35:37
Sauna,Culebra,8,91,2019-01-22 16:35:37
Den,Culebra,0,87,2019-01-22 16:35:37
Den,Aardvark,8,77,2019-01-22 16:35:37
Patio,Culebra,8,84,2019-01-22 16:35:37
Patio,Dog,0,45,2019-01-22 16:35:37
Abuelita's Studio,Pig,8,95,2019-01-22 16:35:37
Dining Room,Chupacabra,0,32,2019-01-22 16:35:37
Dining Room,Rana,8,13,2019-01-22 16:35:37
Abuelita's Studio,Rana,0,5,2019-01-22 16:35:37
Club House,Mule,0,41,2019-01-22 16:35:37
Dining Room,Cat,0,63,2019-01-22 16:35:37
Shower,Mule,8,37,2019-01-22 16:35:37
Abuelita's Studio,Mule,8,59,2019-01-22 16:35:37
Dining Room,Rana,0,75,2019-01-22 16:35:37
Club House,Iguana,0,5,2019-01-22 16:35:37
Dining Room,Mariposa,8,91,2019-01-22 16:35:37
Patio,Chupacabra,0,68,2019-01-22 16:35:37
Dog House,Horse,8,27,2019-01-22 16:35:37
Sauna,Mule,8,87,2019-01-22 16:35:37
Dog House,Horse,8,34,2019-01-22 16:35:37
Coat Room,Chupacabra,8,28,2019-01-22 16:35:37
Coat Room,Aardvark,8,12,2019-01-22 16:35:37
Home Gym,Rana,8,52,2019-01-22 16:35:37
Tree House,Horse,0,61,2019-01-22 16:35:37
Abuelita's Studio,Aardvark,0,9,2019-01-22 16:35:37
