Facility,Description,Result,Minutes_elapsed,Time_stamp
Kitchen,Mule,8,69,2019-01-22 16:37:16
Club House,Iguana,8,62,2019-01-22 16:37:16
Coat Room,Iguana,8,86,2019-01-22 16:37:16
Patio,Horse,0,44,2019-01-22 16:37:16
Patio,Mule,0,37,2019-01-22 16:37:16
Room,Pig,8,82,2019-01-22 16:37:16
Shower,Horse,0,79,2019-01-22 16:37:16
Room,Weasle,0,27,2019-01-22 16:37:16
Avery,Iguana,8,37,2019-01-22 16:37:16
Shower,Weasle,8,4,2019-01-22 16:37:16
Room,Mule,0,5,2019-01-22 16:37:16
Dog House,Pig,8,68,2019-01-22 16:37:16
Avery,Chupacabra,8,3,2019-01-22 16:37:16
Sauna,Cat,0,95,2019-01-22 16:37:16
Sauna,Mule,8,7,2019-01-22 16:37:16
Sauna,Culebra,0,61,2019-01-22 16:37:16
Den,Dog,8,90,2019-01-22 16:37:16
Home Gym,Dog,0,55,2019-01-22 16:37:16
Abuelita's Studio,Cat,0,54,2019-01-22 16:37:16
Dog House,Horse,8,51,2019-01-22 16:37:16
Abuelita's Studio,Weasle,8,94,2019-01-22 16:37:16
Dog House,Chupacabra,0,22,2019-01-22 16:37:16
Tree House,Cat,0,49,2019-01-22 16:37:16
Dog House,Cat,8,35,2019-01-22 16:37:16
Abuelita's Studio,Tiburon,8,46,2019-01-22 16:37:16
Kitchen,Mariposa,0,45,2019-01-22 16:37:16
Shower,Aardvark,8,83,2019-01-22 16:37:16
Closet,Rana,8,21,2019-01-22 16:37:16
Room,Iguana,8,16,2019-01-22 16:37:16
Dog House,Cat,0,81,2019-01-22 16:37:16
Closet,Cat,0,50,2019-01-22 16:37:16
Sauna,Culebra,8,61,2019-01-22 16:37:16
Room,Pig,0,19,2019-01-22 16:37:16
Dining Room,Horse,8,89,2019-01-22 16:37:16
Tree House,Cat,0,82,2019-01-22 16:37:16
Room,Mariposa,0,76,2019-01-22 16:37:16
Dog House,Mule,8,30,2019-01-22 16:37:16
Dog House,Horse,8,72,2019-01-22 16:37:16
Tree House,Culebra,8,65,2019-01-22 16:37:16
Avery,Mariposa,8,88,2019-01-22 16:37:16
Kitchen,Cat,0,51,2019-01-22 16:37:16
Club House,Horse,8,46,2019-01-22 16:37:16
Den,Mariposa,0,42,2019-01-22 16:37:16
Patio,Dog,0,76,2019-01-22 16:37:16
Patio,Pig,0,17,2019-01-22 16:37:16
Home Gym,Mule,0,42,2019-01-22 16:37:16
Sauna,Pig,8,6,2019-01-22 16:37:16
Closet,Dog,0,80,2019-01-22 16:37:16
Avery,Dog,0,45,2019-01-22 16:37:16
Club House,Mariposa,0,55,2019-01-22 16:37:16
Club House,Mariposa,0,89,2019-01-22 16:37:16
Tree House,Weasle,0,91,2019-01-22 16:37:16
Abuelita's Studio,Weasle,0,7,2019-01-22 16:37:16
Shower,Iguana,0,30,2019-01-22 16:37:16
Home Gym,Aardvark,0,58,2019-01-22 16:37:16
Den,Mule,8,15,2019-01-22 16:37:16
Coat Room,Pig,0,38,2019-01-22 16:37:16
Sauna,Aardvark,0,75,2019-01-22 16:37:16
Den,Chupacabra,8,45,2019-01-22 16:37:16
Avery,Mariposa,8,68,2019-01-22 16:37:16
Kitchen,Aardvark,0,32,2019-01-22 16:37:16
Dining Room,Chupacabra,0,79,2019-01-22 16:37:16
Dining Room,Culebra,0,27,2019-01-22 16:37:16
Sauna,Mariposa,8,56,2019-01-22 16:37:16
Avery,Pig,0,64,2019-01-22 16:37:16
Club House,Dog,0,92,2019-01-22 16:37:16
Patio,Culebra,0,91,2019-01-22 16:37:16
