Facility,Description,Result,Minutes_elapsed,Time_stamp
Avery,Rana,8,18,2019-01-23 10:56:36
Shower,Aardvark,0,82,2019-01-23 10:56:36
Closet,Aardvark,0,90,2019-01-23 10:56:36
Patio,Cat,0,28,2019-01-23 10:56:36
Tree House,Dog,0,44,2019-01-23 10:56:36
Tree House,Cat,8,29,2019-01-23 10:56:36
Patio,Horse,8,96,2019-01-23 10:56:36
Dining Room,Horse,0,44,2019-01-23 10:56:36
Club House,Mariposa,8,59,2019-01-23 10:56:36
Sauna,Mariposa,8,77,2019-01-23 10:56:36
Room,Chupacabra,8,37,2019-01-23 10:56:36
Dog House,Weasle,0,55,2019-01-23 10:56:36
Home Gym,Tiburon,0,1,2019-01-23 10:56:36
Den,Mariposa,0,4,2019-01-23 10:56:36
Room,Rana,0,11,2019-01-23 10:56:36
Dog House,Iguana,8,5,2019-01-23 10:56:36
Coat Room,Cat,8,23,2019-01-23 10:56:36
Tree House,Tiburon,0,38,2019-01-23 10:56:36
Tree House,Chupacabra,8,67,2019-01-23 10:56:36
Patio,Weasle,8,24,2019-01-23 10:56:36
Avery,Aardvark,8,4,2019-01-23 10:56:36
Patio,Chupacabra,8,58,2019-01-23 10:56:36
Coat Room,Weasle,8,60,2019-01-23 10:56:36
Dog House,Mariposa,8,91,2019-01-23 10:56:36
Coat Room,Horse,8,14,2019-01-23 10:56:36
Dining Room,Dog,8,97,2019-01-23 10:56:36
Club House,Mariposa,0,52,2019-01-23 10:56:36
Sauna,Tiburon,8,43,2019-01-23 10:56:36
Room,Horse,0,3,2019-01-23 10:56:36
Tree House,Rana,0,95,2019-01-23 10:56:36
Coat Room,Weasle,8,4,2019-01-23 10:56:36
Abuelita's Studio,Tiburon,8,29,2019-01-23 10:56:36
Kitchen,Chupacabra,0,69,2019-01-23 10:56:36
Club House,Dog,8,14,2019-01-23 10:56:36
Kitchen,Horse,8,89,2019-01-23 10:56:36
Tree House,Iguana,0,89,2019-01-23 10:56:36
Kitchen,Weasle,8,49,2019-01-23 10:56:36
Dining Room,Pig,0,22,2019-01-23 10:56:36
Tree House,Aardvark,8,15,2019-01-23 10:56:36
Home Gym,Cat,0,31,2019-01-23 10:56:36
Den,Rana,8,92,2019-01-23 10:56:36
Club House,Pig,0,26,2019-01-23 10:56:36
Abuelita's Studio,Rana,8,67,2019-01-23 10:56:36
Closet,Cat,8,66,2019-01-23 10:56:36
Dining Room,Weasle,8,71,2019-01-23 10:56:36
Dog House,Tiburon,8,63,2019-01-23 10:56:36
Abuelita's Studio,Dog,0,15,2019-01-23 10:56:36
Avery,Pig,8,83,2019-01-23 10:56:36
Closet,Aardvark,8,25,2019-01-23 10:56:36
Closet,Rana,0,33,2019-01-23 10:56:36
Dining Room,Mariposa,0,21,2019-01-23 10:56:36
Abuelita's Studio,Mariposa,8,61,2019-01-23 10:56:36
Club House,Pig,0,45,2019-01-23 10:56:36
Shower,Mule,0,43,2019-01-23 10:56:36
Sauna,Culebra,0,90,2019-01-23 10:56:36
Den,Chupacabra,0,48,2019-01-23 10:56:36
Shower,Mariposa,0,20,2019-01-23 10:56:36
Dog House,Mule,8,6,2019-01-23 10:56:36
Club House,Chupacabra,0,59,2019-01-23 10:56:36
Patio,Horse,0,73,2019-01-23 10:56:36
Avery,Tiburon,8,35,2019-01-23 10:56:36
Avery,Mule,8,83,2019-01-23 10:56:36
Shower,Iguana,0,63,2019-01-23 10:56:36
Coat Room,Mariposa,0,94,2019-01-23 10:56:36
Shower,Mule,0,33,2019-01-23 10:56:36
Club House,Mariposa,0,43,2019-01-23 10:56:36
Home Gym,Chupacabra,8,25,2019-01-23 10:56:36
Closet,Mule,8,14,2019-01-23 10:56:36
Abuelita's Studio,Mule,8,2,2019-01-23 10:56:36
Avery,Culebra,0,35,2019-01-23 10:56:36
Coat Room,Chupacabra,8,24,2019-01-23 10:56:36
Tree House,Weasle,0,4,2019-01-23 10:56:36
Avery,Tiburon,8,63,2019-01-23 10:56:36
Coat Room,Dog,0,87,2019-01-23 10:56:36
Home Gym,Rana,8,55,2019-01-23 10:56:36
Patio,Aardvark,0,58,2019-01-23 10:56:36
Den,Mule,8,53,2019-01-23 10:56:36
Sauna,Cat,8,87,2019-01-23 10:56:36
Coat Room,Cat,8,91,2019-01-23 10:56:36
Den,Mule,8,19,2019-01-23 10:56:36
Club House,Mule,8,74,2019-01-23 10:56:36
Sauna,Culebra,8,97,2019-01-23 10:56:36
Avery,Aardvark,8,16,2019-01-23 10:56:36
Room,Horse,8,83,2019-01-23 10:56:36
Room,Aardvark,0,49,2019-01-23 10:56:36
Dining Room,Iguana,8,65,2019-01-23 10:56:36
Club House,Tiburon,8,62,2019-01-23 10:56:36
Avery,Aardvark,8,61,2019-01-23 10:56:36
Patio,Culebra,0,38,2019-01-23 10:56:36
Sauna,Chupacabra,8,61,2019-01-23 10:56:36
Abuelita's Studio,Mule,8,18,2019-01-23 10:56:36
Coat Room,Rana,8,38,2019-01-23 10:56:36
Abuelita's Studio,Weasle,0,44,2019-01-23 10:56:36
Home Gym,Tiburon,0,72,2019-01-23 10:56:36
Sauna,Tiburon,0,9,2019-01-23 10:56:36
Home Gym,Chupacabra,8,73,2019-01-23 10:56:36
Sauna,Iguana,8,40,2019-01-23 10:56:36
Sauna,Mule,8,75,2019-01-23 10:56:36
Closet,Dog,8,19,2019-01-23 10:56:36
Closet,Horse,0,54,2019-01-23 10:56:36
Kitchen,Tiburon,0,47,2019-01-23 10:56:36
Room,Weasle,8,48,2019-01-23 10:56:36
Room,Dog,8,28,2019-01-23 10:56:36
Patio,Tiburon,8,23,2019-01-23 10:56:36
Patio,Chupacabra,0,66,2019-01-23 10:56:36
Patio,Aardvark,0,40,2019-01-23 10:56:36
Club House,Culebra,8,52,2019-01-23 10:56:36
Room,Weasle,8,21,2019-01-23 10:56:36
Sauna,Culebra,8,86,2019-01-23 10:56:36
Tree House,Chupacabra,0,29,2019-01-23 10:56:36
Coat Room,Dog,0,11,2019-01-23 10:56:36
Dining Room,Chupacabra,8,35,2019-01-23 10:56:36
Sauna,Tiburon,8,67,2019-01-23 10:56:36
Room,Chupacabra,8,96,2019-01-23 10:56:36
Home Gym,Dog,8,65,2019-01-23 10:56:36
Coat Room,Aardvark,8,14,2019-01-23 10:56:36
Sauna,Dog,8,43,2019-01-23 10:56:36
Dog House,Chupacabra,0,27,2019-01-23 10:56:36
Club House,Culebra,8,5,2019-01-23 10:56:36
Tree House,Tiburon,8,91,2019-01-23 10:56:36
Dining Room,Aardvark,8,83,2019-01-23 10:56:36
Dog House,Culebra,0,32,2019-01-23 10:56:36
Room,Pig,0,53,2019-01-23 10:56:36
Den,Culebra,8,57,2019-01-23 10:56:36
Kitchen,Cat,0,73,2019-01-23 10:56:36
Dining Room,Tiburon,8,97,2019-01-23 10:56:36
Shower,Tiburon,0,44,2019-01-23 10:56:36
Den,Mariposa,8,41,2019-01-23 10:56:36
Avery,Dog,8,71,2019-01-23 10:56:36
Dining Room,Cat,0,23,2019-01-23 10:56:36
Closet,Culebra,0,55,2019-01-23 10:56:36
Avery,Rana,8,13,2019-01-23 10:56:36
Club House,Rana,8,17,2019-01-23 10:56:36
Sauna,Culebra,0,17,2019-01-23 10:56:36
Tree House,Chupacabra,8,73,2019-01-23 10:56:36
Club House,Dog,8,54,2019-01-23 10:56:36
Coat Room,Mariposa,0,47,2019-01-23 10:56:36
Dog House,Mule,0,72,2019-01-23 10:56:36
Dining Room,Aardvark,8,30,2019-01-23 10:56:36
Sauna,Tiburon,0,3,2019-01-23 10:56:36
Club House,Mule,0,84,2019-01-23 10:56:36
Shower,Mule,8,1,2019-01-23 10:56:36
Dog House,Tiburon,8,9,2019-01-23 10:56:36
Kitchen,Cat,0,43,2019-01-23 10:56:36
Patio,Pig,0,76,2019-01-23 10:56:36
Patio,Horse,8,53,2019-01-23 10:56:36
Shower,Chupacabra,8,61,2019-01-23 10:56:36
Dog House,Mariposa,0,50,2019-01-23 10:56:36
Tree House,Chupacabra,0,34,2019-01-23 10:56:36
Shower,Rana,0,10,2019-01-23 10:56:36
Club House,Dog,8,64,2019-01-23 10:56:36
Room,Cat,8,32,2019-01-23 10:56:36
Room,Dog,0,94,2019-01-23 10:56:36
Abuelita's Studio,Tiburon,0,29,2019-01-23 10:56:36
Dog House,Dog,8,3,2019-01-23 10:56:36
Coat Room,Horse,0,59,2019-01-23 10:56:36
Sauna,Mule,8,40,2019-01-23 10:56:36
Closet,Pig,8,62,2019-01-23 10:56:36
Abuelita's Studio,Rana,0,9,2019-01-23 10:56:36
Abuelita's Studio,Mule,0,72,2019-01-23 10:56:36
Home Gym,Iguana,8,63,2019-01-23 10:56:36
Dog House,Dog,8,4,2019-01-23 10:56:36
Coat Room,Aardvark,0,28,2019-01-23 10:56:36
Abuelita's Studio,Rana,8,80,2019-01-23 10:56:36
Closet,Dog,8,82,2019-01-23 10:56:36
Sauna,Pig,8,41,2019-01-23 10:56:36
Dining Room,Horse,8,51,2019-01-23 10:56:36
Patio,Aardvark,0,25,2019-01-23 10:56:36
Sauna,Tiburon,8,92,2019-01-23 10:56:36
Kitchen,Weasle,8,92,2019-01-23 10:56:36
Club House,Mariposa,0,37,2019-01-23 10:56:36
Dog House,Culebra,8,52,2019-01-23 10:56:36
Dog House,Mariposa,8,4,2019-01-23 10:56:36
Shower,Cat,8,29,2019-01-23 10:56:36
Kitchen,Iguana,8,43,2019-01-23 10:56:36
Sauna,Culebra,0,21,2019-01-23 10:56:36
Club House,Chupacabra,8,69,2019-01-23 10:56:36
Dog House,Culebra,8,45,2019-01-23 10:56:36
Club House,Rana,0,38,2019-01-23 10:56:36
Tree House,Culebra,0,45,2019-01-23 10:56:36
Patio,Horse,8,74,2019-01-23 10:56:36
Sauna,Pig,8,59,2019-01-23 10:56:36
Coat Room,Aardvark,8,12,2019-01-23 10:56:36
Coat Room,Mule,0,75,2019-01-23 10:56:36
Tree House,Mariposa,8,3,2019-01-23 10:56:36
Avery,Mule,8,60,2019-01-23 10:56:36
Sauna,Dog,8,41,2019-01-23 10:56:36
Kitchen,Horse,0,12,2019-01-23 10:56:36
Coat Room,Dog,8,65,2019-01-23 10:56:36
Tree House,Rana,8,88,2019-01-23 10:56:36
Club House,Iguana,8,10,2019-01-23 10:56:36
Room,Chupacabra,0,32,2019-01-23 10:56:36
Den,Mariposa,0,62,2019-01-23 10:56:36
Avery,Weasle,8,72,2019-01-23 10:56:36
Dog House,Mariposa,0,25,2019-01-23 10:56:36
Coat Room,Mule,0,18,2019-01-23 10:56:36
Abuelita's Studio,Mariposa,8,20,2019-01-23 10:56:36
Sauna,Culebra,0,97,2019-01-23 10:56:36
Dining Room,Chupacabra,8,58,2019-01-23 10:56:36
Kitchen,Aardvark,8,55,2019-01-23 10:56:36
Dog House,Rana,8,85,2019-01-23 10:56:36
Closet,Culebra,8,7,2019-01-23 10:56:36
Home Gym,Horse,0,67,2019-01-23 10:56:36
Closet,Pig,8,28,2019-01-23 10:56:36
Avery,Mule,8,18,2019-01-23 10:56:36
Club House,Dog,8,58,2019-01-23 10:56:36
Kitchen,Cat,8,3,2019-01-23 10:56:36
Room,Cat,0,22,2019-01-23 10:56:36
Tree House,Mule,8,57,2019-01-23 10:56:36
Club House,Mariposa,8,83,2019-01-23 10:56:36
Kitchen,Iguana,0,96,2019-01-23 10:56:36
Dining Room,Mule,8,84,2019-01-23 10:56:36
Room,Tiburon,0,31,2019-01-23 10:56:36
Closet,Mariposa,0,9,2019-01-23 10:56:36
Sauna,Mariposa,8,18,2019-01-23 10:56:36
Tree House,Mariposa,0,51,2019-01-23 10:56:36
Avery,Horse,8,46,2019-01-23 10:56:36
Abuelita's Studio,Chupacabra,0,44,2019-01-23 10:56:36
Home Gym,Cat,8,59,2019-01-23 10:56:36
Dining Room,Chupacabra,8,1,2019-01-23 10:56:36
Shower,Iguana,8,14,2019-01-23 10:56:36
Coat Room,Pig,8,82,2019-01-23 10:56:36
Dining Room,Cat,0,68,2019-01-23 10:56:36
Sauna,Horse,8,21,2019-01-23 10:56:36
Home Gym,Mariposa,0,58,2019-01-23 10:56:36
Room,Iguana,8,51,2019-01-23 10:56:36
Sauna,Rana,8,92,2019-01-23 10:56:36
Abuelita's Studio,Weasle,8,44,2019-01-23 10:56:36
Sauna,Rana,8,99,2019-01-23 10:56:36
Home Gym,Pig,8,36,2019-01-23 10:56:36
Avery,Horse,8,66,2019-01-23 10:56:36
Home Gym,Chupacabra,0,10,2019-01-23 10:56:36
Shower,Mariposa,8,78,2019-01-23 10:56:36
Dining Room,Chupacabra,0,86,2019-01-23 10:56:36
Den,Iguana,8,67,2019-01-23 10:56:36
Avery,Chupacabra,0,62,2019-01-23 10:56:36
Tree House,Cat,8,41,2019-01-23 10:56:36
Den,Mule,8,75,2019-01-23 10:56:36
Den,Chupacabra,8,61,2019-01-23 10:56:36
Sauna,Pig,0,55,2019-01-23 10:56:36
Coat Room,Pig,8,65,2019-01-23 10:56:36
Dog House,Horse,0,41,2019-01-23 10:56:36
Home Gym,Weasle,0,37,2019-01-23 10:56:36
Patio,Aardvark,0,6,2019-01-23 10:56:36
Coat Room,Mariposa,0,97,2019-01-23 10:56:36
Tree House,Dog,0,33,2019-01-23 10:56:36
Kitchen,Aardvark,8,6,2019-01-23 10:56:36
Patio,Dog,8,39,2019-01-23 10:56:36
Home Gym,Horse,0,93,2019-01-23 10:56:36
Dog House,Aardvark,8,35,2019-01-23 10:56:36
Sauna,Iguana,0,76,2019-01-23 10:56:36
Dog House,Horse,8,95,2019-01-23 10:56:36
Closet,Culebra,0,80,2019-01-23 10:56:36
Dog House,Pig,8,51,2019-01-23 10:56:36
Patio,Iguana,8,10,2019-01-23 10:56:36
Kitchen,Weasle,8,4,2019-01-23 10:56:36
Den,Mule,0,60,2019-01-23 10:56:36
Room,Pig,8,51,2019-01-23 10:56:36
Den,Chupacabra,0,71,2019-01-23 10:56:36
Dining Room,Cat,0,43,2019-01-23 10:56:36
Closet,Pig,8,65,2019-01-23 10:56:36
Tree House,Weasle,0,13,2019-01-23 10:56:36
Patio,Mule,8,18,2019-01-23 10:56:36
Abuelita's Studio,Chupacabra,0,50,2019-01-23 10:56:36
Tree House,Dog,0,38,2019-01-23 10:56:36
Avery,Culebra,8,68,2019-01-23 10:56:36
Tree House,Mariposa,0,19,2019-01-23 10:56:36
Kitchen,Iguana,0,93,2019-01-23 10:56:36
Closet,Tiburon,8,8,2019-01-23 10:56:36
Avery,Mule,8,53,2019-01-23 10:56:36
Kitchen,Cat,8,50,2019-01-23 10:56:36
Tree House,Chupacabra,0,64,2019-01-23 10:56:36
Avery,Tiburon,8,81,2019-01-23 10:56:36
Dog House,Pig,8,38,2019-01-23 10:56:36
Club House,Aardvark,8,7,2019-01-23 10:56:36
Closet,Culebra,8,25,2019-01-23 10:56:36
Dining Room,Horse,0,29,2019-01-23 10:56:36
Shower,Dog,8,25,2019-01-23 10:56:36
Tree House,Aardvark,8,33,2019-01-23 10:56:36
Room,Culebra,8,37,2019-01-23 10:56:36
Dining Room,Tiburon,0,85,2019-01-23 10:56:36
Coat Room,Pig,8,63,2019-01-23 10:56:36
Tree House,Aardvark,0,67,2019-01-23 10:56:36
Shower,Cat,0,67,2019-01-23 10:56:36
Home Gym,Aardvark,8,90,2019-01-23 10:56:36
Tree House,Chupacabra,0,44,2019-01-23 10:56:36
Coat Room,Cat,8,24,2019-01-23 10:56:36
Club House,Culebra,0,93,2019-01-23 10:56:36
Club House,Mule,8,26,2019-01-23 10:56:36
Tree House,Chupacabra,8,67,2019-01-23 10:56:36
Kitchen,Tiburon,8,79,2019-01-23 10:56:36
Coat Room,Dog,8,51,2019-01-23 10:56:36
Avery,Iguana,0,55,2019-01-23 10:56:36
Coat Room,Iguana,0,3,2019-01-23 10:56:36
Club House,Cat,8,78,2019-01-23 10:56:36
Abuelita's Studio,Chupacabra,8,10,2019-01-23 10:56:36
Dog House,Cat,0,66,2019-01-23 10:56:36
Patio,Chupacabra,0,18,2019-01-23 10:56:36
Shower,Pig,0,33,2019-01-23 10:56:36
Dog House,Mule,8,74,2019-01-23 10:56:36
