Facility,Description,Result,Minutes_elapsed,Time_stamp
Shower,Iguana,0,49,2019-01-09 19:45:46
Home Gym,Chupacabra,8,50,2019-01-09 19:45:46
Abuelita's Studio,Weasle,8,94,2019-01-09 19:45:46
Den,Iguana,0,10,2019-01-09 19:45:46
Shower,Tiburon,0,13,2019-01-09 19:45:46
Sauna,Chupacabra,8,44,2019-01-09 19:45:46
Sauna,Chupacabra,8,79,2019-01-09 19:45:46
Dog House,Cat,0,14,2019-01-09 19:45:46
Closet,Dog,8,27,2019-01-09 19:45:46
Sauna,Cat,0,10,2019-01-09 19:45:46
Abuelita's Studio,Chupacabra,0,89,2019-01-09 19:45:46
Club House,Dog,0,60,2019-01-09 19:45:46
Closet,Mariposa,0,4,2019-01-09 19:45:46
Sauna,Weasle,0,47,2019-01-09 19:45:46
Room,Mule,8,73,2019-01-09 19:45:46
Home Gym,Weasle,0,24,2019-01-09 19:45:46
Kitchen,Rana,0,73,2019-01-09 19:45:46
Tree House,Iguana,0,54,2019-01-09 19:45:46
Home Gym,Dog,0,48,2019-01-09 19:45:46
Sauna,Dog,8,17,2019-01-09 19:45:46
Club House,Chupacabra,8,94,2019-01-09 19:45:46
Avery,Horse,8,39,2019-01-09 19:45:46
Abuelita's Studio,Mule,0,11,2019-01-09 19:45:46
Abuelita's Studio,Mariposa,8,86,2019-01-09 19:45:46
Coat Room,Horse,8,42,2019-01-09 19:45:46
Patio,Tiburon,8,75,2019-01-09 19:45:46
Closet,Mariposa,8,44,2019-01-09 19:45:46
Patio,Tiburon,0,55,2019-01-09 19:45:46
Shower,Aardvark,0,49,2019-01-09 19:45:46
Shower,Tiburon,0,60,2019-01-09 19:45:46
Club House,Weasle,8,85,2019-01-09 19:45:46
Dog House,Mule,0,88,2019-01-09 19:45:46
Den,Chupacabra,8,9,2019-01-09 19:45:46
Dog House,Mule,0,59,2019-01-09 19:45:46
Abuelita's Studio,Rana,8,21,2019-01-09 19:45:46
Dog House,Mariposa,0,34,2019-01-09 19:45:46
Coat Room,Horse,8,16,2019-01-09 19:45:46
Patio,Mule,8,58,2019-01-09 19:45:46
Home Gym,Iguana,0,48,2019-01-09 19:45:46
Closet,Horse,8,96,2019-01-09 19:45:46
