Facility,Description,Result,Minutes_elapsed,Time_stamp
Den,Culebra,0,0,2019-01-23 10:56:12
Shower,Iguana,8,56,2019-01-23 10:56:12
Home Gym,Mule,8,26,2019-01-23 10:56:12
Patio,Tiburon,0,55,2019-01-23 10:56:12
Closet,Mariposa,0,45,2019-01-23 10:56:12
Shower,Pig,8,25,2019-01-23 10:56:12
Abuelita's Studio,Chupacabra,8,1,2019-01-23 10:56:12
Home Gym,Chupacabra,8,30,2019-01-23 10:56:12
Patio,Pig,0,93,2019-01-23 10:56:12
Club House,Chupacabra,0,71,2019-01-23 10:56:12
Den,Dog,8,69,2019-01-23 10:56:12
Abuelita's Studio,Iguana,0,92,2019-01-23 10:56:12
Kitchen,Iguana,0,11,2019-01-23 10:56:12
Sauna,Dog,0,67,2019-01-23 10:56:12
Dog House,Rana,8,58,2019-01-23 10:56:12
Club House,Cat,8,74,2019-01-23 10:56:12
Shower,Chupacabra,0,54,2019-01-23 10:56:12
Tree House,Chupacabra,8,12,2019-01-23 10:56:12
Sauna,Chupacabra,8,47,2019-01-23 10:56:12
Sauna,Weasle,0,1,2019-01-23 10:56:12
Club House,Rana,8,79,2019-01-23 10:56:12
Avery,Horse,0,14,2019-01-23 10:56:12
Dining Room,Horse,8,59,2019-01-23 10:56:12
Abuelita's Studio,Horse,0,63,2019-01-23 10:56:12
Kitchen,Weasle,8,64,2019-01-23 10:56:12
Sauna,Rana,8,15,2019-01-23 10:56:12
Patio,Weasle,8,39,2019-01-23 10:56:12
Sauna,Rana,0,30,2019-01-23 10:56:12
Abuelita's Studio,Culebra,0,34,2019-01-23 10:56:12
Coat Room,Rana,8,54,2019-01-23 10:56:12
Patio,Dog,0,97,2019-01-23 10:56:12
Room,Mule,0,3,2019-01-23 10:56:12
Club House,Aardvark,8,44,2019-01-23 10:56:12
Tree House,Weasle,8,50,2019-01-23 10:56:12
Shower,Weasle,0,91,2019-01-23 10:56:12
Kitchen,Dog,8,31,2019-01-23 10:56:12
Patio,Tiburon,0,74,2019-01-23 10:56:12
Kitchen,Culebra,0,15,2019-01-23 10:56:12
Home Gym,Rana,0,51,2019-01-23 10:56:12
Den,Chupacabra,0,53,2019-01-23 10:56:12
Dining Room,Aardvark,0,51,2019-01-23 10:56:12
Room,Culebra,0,28,2019-01-23 10:56:12
Dining Room,Mule,8,87,2019-01-23 10:56:12
Avery,Dog,0,0,2019-01-23 10:56:12
Den,Dog,0,33,2019-01-23 10:56:12
Tree House,Cat,0,75,2019-01-23 10:56:12
Home Gym,Tiburon,0,24,2019-01-23 10:56:12
Tree House,Weasle,8,76,2019-01-23 10:56:12
Shower,Pig,0,2,2019-01-23 10:56:12
Dining Room,Weasle,8,57,2019-01-23 10:56:12
Closet,Horse,8,63,2019-01-23 10:56:12
