Facility,Description,Result,Minutes_elapsed,Time_stamp
Closet,Weasle,0,75,2019-01-23 13:52:21
Home Gym,Dog,8,45,2019-01-23 13:52:21
Avery,Weasle,0,23,2019-01-23 13:52:21
Abuelita's Studio,Mule,8,40,2019-01-23 13:52:21
Coat Room,Mule,0,81,2019-01-23 13:52:21
Coat Room,Cat,0,3,2019-01-23 13:52:21
Closet,Tiburon,0,18,2019-01-23 13:52:21
Room,Pig,0,33,2019-01-23 13:52:21
Kitchen,Tiburon,8,38,2019-01-23 13:52:21
Club House,Pig,8,77,2019-01-23 13:52:21
Dining Room,Pig,8,76,2019-01-23 13:52:21
Patio,Mule,8,60,2019-01-23 13:52:21
Patio,Chupacabra,0,35,2019-01-23 13:52:21
Dog House,Weasle,8,21,2019-01-23 13:52:21
Sauna,Rana,0,69,2019-01-23 13:52:21
Sauna,Aardvark,8,99,2019-01-23 13:52:21
Patio,Mule,8,68,2019-01-23 13:52:21
Closet,Weasle,8,46,2019-01-23 13:52:21
Den,Horse,0,7,2019-01-23 13:52:21
Den,Aardvark,0,51,2019-01-23 13:52:21
Dining Room,Dog,0,64,2019-01-23 13:52:21
Tree House,Culebra,8,41,2019-01-23 13:52:21
Kitchen,Rana,8,88,2019-01-23 13:52:21
Den,Mule,8,43,2019-01-23 13:52:21
Shower,Aardvark,0,99,2019-01-23 13:52:21
Kitchen,Mariposa,8,35,2019-01-23 13:52:21
Den,Pig,8,9,2019-01-23 13:52:21
Patio,Cat,8,17,2019-01-23 13:52:21
Club House,Cat,0,81,2019-01-23 13:52:21
Patio,Culebra,0,92,2019-01-23 13:52:21
Dog House,Dog,8,39,2019-01-23 13:52:21
Den,Tiburon,0,91,2019-01-23 13:52:21
Closet,Dog,0,92,2019-01-23 13:52:21
Den,Mariposa,0,37,2019-01-23 13:52:21
Den,Pig,8,41,2019-01-23 13:52:21
Den,Cat,0,24,2019-01-23 13:52:21
Home Gym,Horse,0,85,2019-01-23 13:52:21
Avery,Dog,0,35,2019-01-23 13:52:21
Club House,Aardvark,0,85,2019-01-23 13:52:21
Sauna,Pig,8,65,2019-01-23 13:52:21
Dog House,Aardvark,0,60,2019-01-23 13:52:21
Den,Weasle,8,50,2019-01-23 13:52:21
