Facility,Description,Result,Minutes_elapsed,Time_stamp
Shower,Pig,0,58,2019-01-09 19:46:52
Room,Mariposa,0,30,2019-01-09 19:46:52
Den,Tiburon,0,50,2019-01-09 19:46:52
Tree House,Horse,8,5,2019-01-09 19:46:52
Den,Mariposa,8,56,2019-01-09 19:46:52
Kitchen,Iguana,0,43,2019-01-09 19:46:52
Patio,Mule,0,23,2019-01-09 19:46:52
Closet,Culebra,8,22,2019-01-09 19:46:52
Shower,Iguana,8,41,2019-01-09 19:46:52
Coat Room,Dog,8,8,2019-01-09 19:46:52
Patio,Rana,8,68,2019-01-09 19:46:52
Coat Room,Mule,8,40,2019-01-09 19:46:52
Room,Weasle,0,45,2019-01-09 19:46:52
Abuelita's Studio,Weasle,8,71,2019-01-09 19:46:52
Abuelita's Studio,Mariposa,8,49,2019-01-09 19:46:52
Club House,Dog,8,64,2019-01-09 19:46:52
Kitchen,Mule,0,26,2019-01-09 19:46:52
Den,Rana,8,52,2019-01-09 19:46:52
Dog House,Dog,8,41,2019-01-09 19:46:52
Kitchen,Tiburon,0,72,2019-01-09 19:46:52
Room,Dog,8,78,2019-01-09 19:46:52
Tree House,Mule,0,8,2019-01-09 19:46:52
Home Gym,Iguana,8,32,2019-01-09 19:46:52
Abuelita's Studio,Pig,0,42,2019-01-09 19:46:52
Den,Mariposa,0,30,2019-01-09 19:46:52
Home Gym,Chupacabra,0,91,2019-01-09 19:46:52
Dining Room,Pig,0,53,2019-01-09 19:46:52
Club House,Tiburon,8,86,2019-01-09 19:46:52
Den,Aardvark,8,11,2019-01-09 19:46:52
Dining Room,Tiburon,0,51,2019-01-09 19:46:52
Shower,Rana,8,42,2019-01-09 19:46:52
Room,Pig,0,56,2019-01-09 19:46:52
Shower,Weasle,0,38,2019-01-09 19:46:52
Abuelita's Studio,Cat,8,29,2019-01-09 19:46:52
Den,Culebra,0,63,2019-01-09 19:46:52
Sauna,Weasle,0,30,2019-01-09 19:46:52
Abuelita's Studio,Weasle,8,22,2019-01-09 19:46:52
Dog House,Culebra,0,91,2019-01-09 19:46:52
Den,Cat,0,0,2019-01-09 19:46:52
Tree House,Cat,8,32,2019-01-09 19:46:52
Den,Horse,0,35,2019-01-09 19:46:52
Dog House,Aardvark,0,44,2019-01-09 19:46:52
Shower,Dog,8,5,2019-01-09 19:46:52
Abuelita's Studio,Mule,8,53,2019-01-09 19:46:52
Shower,Dog,0,48,2019-01-09 19:46:52
Tree House,Chupacabra,8,14,2019-01-09 19:46:52
Coat Room,Tiburon,8,15,2019-01-09 19:46:52
Tree House,Mariposa,8,77,2019-01-09 19:46:52
Kitchen,Weasle,0,66,2019-01-09 19:46:52
Den,Horse,0,76,2019-01-09 19:46:52
Shower,Dog,0,96,2019-01-09 19:46:52
Club House,Dog,0,63,2019-01-09 19:46:52
Patio,Horse,0,24,2019-01-09 19:46:52
Tree House,Cat,8,37,2019-01-09 19:46:52
Patio,Chupacabra,8,82,2019-01-09 19:46:52
Den,Horse,0,14,2019-01-09 19:46:52
Tree House,Dog,8,80,2019-01-09 19:46:52
Room,Chupacabra,8,82,2019-01-09 19:46:52
Avery,Weasle,0,83,2019-01-09 19:46:52
Dining Room,Mule,8,9,2019-01-09 19:46:52
Coat Room,Pig,8,16,2019-01-09 19:46:52
Sauna,Rana,0,66,2019-01-09 19:46:52
Room,Culebra,0,89,2019-01-09 19:46:52
Coat Room,Mariposa,0,22,2019-01-09 19:46:52
Home Gym,Mule,8,60,2019-01-09 19:46:52
Closet,Horse,8,45,2019-01-09 19:46:52
