Facility,Description,Result,Minutes_elapsed,Time_stamp
Dining Room,Chupacabra,8,67,2019-01-09 19:41:06
Closet,Mule,0,1,2019-01-09 19:41:06
Shower,Chupacabra,0,78,2019-01-09 19:41:06
Coat Room,Chupacabra,0,51,2019-01-09 19:41:06
Club House,Mule,0,59,2019-01-09 19:41:06
Dining Room,Cat,8,57,2019-01-09 19:41:06
Coat Room,Iguana,8,15,2019-01-09 19:41:06
Tree House,Iguana,8,74,2019-01-09 19:41:06
Club House,Rana,0,15,2019-01-09 19:41:06
Kitchen,Horse,0,63,2019-01-09 19:41:06
Sauna,Iguana,8,88,2019-01-09 19:41:06
Den,Cat,8,58,2019-01-09 19:41:06
Home Gym,Chupacabra,0,34,2019-01-09 19:41:06
Home Gym,Dog,8,81,2019-01-09 19:41:06
Sauna,Mariposa,8,23,2019-01-09 19:41:06
Kitchen,Weasle,8,38,2019-01-09 19:41:06
Kitchen,Mule,0,97,2019-01-09 19:41:06
Home Gym,Culebra,8,47,2019-01-09 19:41:06
Room,Mule,8,11,2019-01-09 19:41:06
Home Gym,Rana,8,75,2019-01-09 19:41:06
Shower,Culebra,0,92,2019-01-09 19:41:06
Den,Weasle,8,86,2019-01-09 19:41:06
Den,Aardvark,8,22,2019-01-09 19:41:06
Home Gym,Pig,8,11,2019-01-09 19:41:06
Closet,Aardvark,0,67,2019-01-09 19:41:06
Coat Room,Horse,0,28,2019-01-09 19:41:06
Home Gym,Mariposa,0,96,2019-01-09 19:41:06
Avery,Aardvark,0,67,2019-01-09 19:41:06
Avery,Aardvark,0,19,2019-01-09 19:41:06
Dining Room,Dog,0,56,2019-01-09 19:41:06
Coat Room,Culebra,0,60,2019-01-09 19:41:06
Room,Weasle,0,8,2019-01-09 19:41:06
Club House,Pig,0,80,2019-01-09 19:41:06
Club House,Dog,0,74,2019-01-09 19:41:06
Abuelita's Studio,Mule,0,56,2019-01-09 19:41:06
Patio,Cat,0,66,2019-01-09 19:41:06
Kitchen,Cat,0,27,2019-01-09 19:41:06
Coat Room,Cat,0,6,2019-01-09 19:41:06
Club House,Horse,0,40,2019-01-09 19:41:06
Club House,Horse,0,66,2019-01-09 19:41:06
Shower,Aardvark,0,45,2019-01-09 19:41:06
Closet,Cat,0,60,2019-01-09 19:41:06
Abuelita's Studio,Weasle,8,81,2019-01-09 19:41:06
Den,Aardvark,8,69,2019-01-09 19:41:06
Avery,Dog,0,90,2019-01-09 19:41:06
Room,Weasle,0,54,2019-01-09 19:41:06
Closet,Horse,0,73,2019-01-09 19:41:06
Den,Tiburon,0,79,2019-01-09 19:41:06
Kitchen,Cat,8,94,2019-01-09 19:41:06
Closet,Cat,0,10,2019-01-09 19:41:06
Coat Room,Cat,8,45,2019-01-09 19:41:06
Tree House,Rana,0,18,2019-01-09 19:41:06
Closet,Iguana,0,30,2019-01-09 19:41:06
Closet,Mariposa,8,40,2019-01-09 19:41:06
Abuelita's Studio,Weasle,0,24,2019-01-09 19:41:06
Patio,Chupacabra,8,81,2019-01-09 19:41:06
Dog House,Cat,0,42,2019-01-09 19:41:06
Dog House,Chupacabra,0,19,2019-01-09 19:41:06
Sauna,Cat,8,21,2019-01-09 19:41:06
Club House,Rana,0,79,2019-01-09 19:41:06
Coat Room,Chupacabra,8,5,2019-01-09 19:41:06
Patio,Dog,0,97,2019-01-09 19:41:06
Closet,Mariposa,8,4,2019-01-09 19:41:06
Avery,Tiburon,8,53,2019-01-09 19:41:06
Room,Mariposa,8,97,2019-01-09 19:41:06
