Facility,Description,Result,Minutes_elapsed,Time_stamp
Patio,Rana,0,4,2019-01-23 12:49:32
Coat Room,Horse,0,27,2019-01-23 12:49:32
Abuelita's Studio,Tiburon,0,4,2019-01-23 12:49:32
Abuelita's Studio,Pig,0,54,2019-01-23 12:49:32
Sauna,Horse,0,9,2019-01-23 12:49:32
Abuelita's Studio,Mule,8,69,2019-01-23 12:49:32
Sauna,Iguana,8,2,2019-01-23 12:49:32
Club House,Cat,8,70,2019-01-23 12:49:32
Room,Culebra,0,92,2019-01-23 12:49:32
Shower,Tiburon,8,68,2019-01-23 12:49:32
Club House,Dog,8,71,2019-01-23 12:49:32
Den,Culebra,8,56,2019-01-23 12:49:32
Avery,Culebra,8,26,2019-01-23 12:49:32
Tree House,Tiburon,8,28,2019-01-23 12:49:32
Coat Room,Horse,8,95,2019-01-23 12:49:32
Tree House,Mule,8,53,2019-01-23 12:49:32
Club House,Mariposa,0,92,2019-01-23 12:49:32
Club House,Iguana,8,84,2019-01-23 12:49:32
Home Gym,Rana,8,9,2019-01-23 12:49:32
Shower,Rana,0,26,2019-01-23 12:49:32
Shower,Tiburon,0,99,2019-01-23 12:49:32
Closet,Horse,8,40,2019-01-23 12:49:32
Patio,Chupacabra,0,40,2019-01-23 12:49:32
Tree House,Iguana,8,0,2019-01-23 12:49:32
Kitchen,Mariposa,0,56,2019-01-23 12:49:32
Dog House,Iguana,8,46,2019-01-23 12:49:32
Coat Room,Chupacabra,8,8,2019-01-23 12:49:32
Abuelita's Studio,Tiburon,0,75,2019-01-23 12:49:32
Dining Room,Chupacabra,0,82,2019-01-23 12:49:32
Home Gym,Dog,0,19,2019-01-23 12:49:32
Dining Room,Rana,8,98,2019-01-23 12:49:32
Avery,Iguana,0,63,2019-01-23 12:49:32
Sauna,Weasle,8,65,2019-01-23 12:49:32
Abuelita's Studio,Pig,8,74,2019-01-23 12:49:32
Patio,Iguana,0,12,2019-01-23 12:49:32
Avery,Mariposa,8,7,2019-01-23 12:49:32
Sauna,Aardvark,0,16,2019-01-23 12:49:32
Avery,Weasle,8,6,2019-01-23 12:49:32
Tree House,Chupacabra,0,83,2019-01-23 12:49:32
Patio,Mariposa,0,14,2019-01-23 12:49:32
Sauna,Pig,8,57,2019-01-23 12:49:32
Dog House,Aardvark,8,92,2019-01-23 12:49:32
Tree House,Iguana,8,13,2019-01-23 12:49:32
Sauna,Rana,0,8,2019-01-23 12:49:32
Home Gym,Chupacabra,8,37,2019-01-23 12:49:32
Home Gym,Aardvark,8,48,2019-01-23 12:49:32
Den,Chupacabra,8,15,2019-01-23 12:49:32
Coat Room,Dog,8,45,2019-01-23 12:49:32
Shower,Rana,0,56,2019-01-23 12:49:32
Den,Dog,8,31,2019-01-23 12:49:32
Sauna,Weasle,0,95,2019-01-23 12:49:32
Den,Tiburon,8,67,2019-01-23 12:49:32
Sauna,Chupacabra,0,58,2019-01-23 12:49:32
Closet,Pig,8,48,2019-01-23 12:49:32
Abuelita's Studio,Pig,0,50,2019-01-23 12:49:32
Club House,Tiburon,8,9,2019-01-23 12:49:32
Closet,Chupacabra,0,74,2019-01-23 12:49:32
Den,Weasle,8,17,2019-01-23 12:49:32
Patio,Mule,8,29,2019-01-23 12:49:32
Den,Mariposa,8,4,2019-01-23 12:49:32
Coat Room,Culebra,0,78,2019-01-23 12:49:32
Avery,Culebra,0,37,2019-01-23 12:49:32
Dog House,Pig,0,40,2019-01-23 12:49:32
Den,Aardvark,8,69,2019-01-23 12:49:32
Avery,Rana,8,25,2019-01-23 12:49:32
Avery,Tiburon,8,18,2019-01-23 12:49:32
Avery,Mule,0,15,2019-01-23 12:49:32
Kitchen,Aardvark,0,80,2019-01-23 12:49:32
Coat Room,Aardvark,0,41,2019-01-23 12:49:32
Shower,Aardvark,8,14,2019-01-23 12:49:32
Shower,Weasle,0,81,2019-01-23 12:49:32
Sauna,Tiburon,8,57,2019-01-23 12:49:32
