Facility,Description,Result,Minutes_elapsed,Time_stamp
Tree House,Iguana,8,0,2019-01-09 19:45:16
Kitchen,Weasle,0,9,2019-01-09 19:45:16
Den,Rana,8,53,2019-01-09 19:45:16
Avery,Mariposa,0,33,2019-01-09 19:45:16
Avery,Weasle,8,51,2019-01-09 19:45:16
Tree House,Weasle,8,15,2019-01-09 19:45:16
Den,Weasle,8,37,2019-01-09 19:45:16
Abuelita's Studio,Horse,8,22,2019-01-09 19:45:16
Avery,Rana,8,90,2019-01-09 19:45:16
Closet,Dog,8,76,2019-01-09 19:45:16
Dining Room,Dog,0,67,2019-01-09 19:45:16
Room,Tiburon,0,45,2019-01-09 19:45:16
Home Gym,Horse,0,73,2019-01-09 19:45:16
Avery,Dog,0,70,2019-01-09 19:45:16
Tree House,Weasle,0,93,2019-01-09 19:45:16
Abuelita's Studio,Weasle,8,28,2019-01-09 19:45:16
Den,Culebra,0,11,2019-01-09 19:45:16
Dining Room,Culebra,0,53,2019-01-09 19:45:16
Coat Room,Weasle,8,32,2019-01-09 19:45:16
Kitchen,Iguana,8,88,2019-01-09 19:45:16
Home Gym,Weasle,0,1,2019-01-09 19:45:16
Shower,Cat,0,39,2019-01-09 19:45:16
Den,Mariposa,8,16,2019-01-09 19:45:16
Closet,Iguana,0,79,2019-01-09 19:45:16
Dog House,Culebra,8,40,2019-01-09 19:45:16
Tree House,Rana,0,82,2019-01-09 19:45:16
Room,Weasle,0,36,2019-01-09 19:45:16
Tree House,Weasle,8,98,2019-01-09 19:45:16
Den,Cat,8,2,2019-01-09 19:45:16
Abuelita's Studio,Horse,8,6,2019-01-09 19:45:16
Den,Weasle,0,28,2019-01-09 19:45:16
Dog House,Pig,0,31,2019-01-09 19:45:16
Patio,Mariposa,8,70,2019-01-09 19:45:16
Room,Tiburon,0,99,2019-01-09 19:45:16
Patio,Mule,8,85,2019-01-09 19:45:16
Room,Cat,8,24,2019-01-09 19:45:16
Abuelita's Studio,Pig,8,14,2019-01-09 19:45:16
Avery,Dog,0,0,2019-01-09 19:45:16
Sauna,Cat,8,64,2019-01-09 19:45:16
Dog House,Aardvark,8,22,2019-01-09 19:45:16
Shower,Horse,0,78,2019-01-09 19:45:16
Coat Room,Mariposa,0,67,2019-01-09 19:45:16
Tree House,Horse,8,98,2019-01-09 19:45:16
Closet,Cat,8,24,2019-01-09 19:45:16
Sauna,Cat,8,54,2019-01-09 19:45:16
Shower,Rana,8,41,2019-01-09 19:45:16
Coat Room,Culebra,8,45,2019-01-09 19:45:16
Dog House,Aardvark,0,16,2019-01-09 19:45:16
Abuelita's Studio,Mule,0,90,2019-01-09 19:45:16
Club House,Dog,8,23,2019-01-09 19:45:16
Club House,Mule,8,64,2019-01-09 19:45:16
Closet,Pig,8,93,2019-01-09 19:45:16
